time,Sum_steel_inflow,Sum_conc_inflow,Sum_engwood_inflow,Sum_dimlum_inflow,Sum_masonry_inflow
2017,14.112668143969142,8.946727945092402,21.238689965589565,48.32989622932371,8.225949457700922e-16
2018,13.94141871080154,8.847912263098605,20.979815174971655,47.74077014028857,1.0587907166642293e-15
2019,13.775409385137472,8.754301287143514,20.728602402522288,47.16907134893559,9.427357390996178e-16
2020,13.613035891152027,8.665265042532946,20.482590831455386,46.609198403258105,6.029758047302232e-16
2021,13.455084405157024,8.581769484204726,20.24290726185891,46.063713302126544,8.225949457700922e-16
2022,13.30919093479718,8.509256971807893,20.02097069782895,45.55859793187388,1.6390396274271577e-15
2023,13.176986851824813,8.44948752012144,19.819148073745705,45.099235034759545,1.6390396274271577e-15
2024,13.05805874408357,8.403069432423983,19.636710828115437,44.68396261229548,6.029758047302232e-16
2025,12.95203184688578,8.370814585446231,19.47296573048257,44.311198091805615,4.2636828041615635e-16
2026,12.85599872372155,8.352101360015173,19.323385307007243,43.970632813111806,8.225949457700922e-16
2027,12.759368843878134,8.341492658695433,19.171869723734638,43.62562385907997,3.892192083143616e-16
2028,12.659145740443034,8.338627222971198,19.01371200824861,43.265451703658094,7.316216865022294e-16
2029,12.554855762532021,8.345008200204262,18.847963745347222,42.88794761982495,7.246867272729939e-16
2030,12.446002819830397,8.362367055521151,18.673604652977087,42.490777062057965,1.1235790734703486e-15
2031,12.335156377986003,8.394760958516558,18.494169399321063,42.08196715000704,3.892192083143616e-16
2032,12.234181149618415,8.453012970849839,18.327058323964497,41.70109082454359,8.225949457700922e-16
2033,12.145769465751583,8.542308503874262,18.175821676393156,41.35620016609237,4.2040479398749507e-16
2034,12.069513258449216,8.666086012956988,18.039284483669416,41.04458927022943,4.522318535476674e-16
2035,12.00498952119512,8.828031213692677,17.91617548523669,40.763326115702995,4.2040479398749507e-16
2036,11.94863007004722,9.029572571051684,17.8004697954894,40.498655539276605,4.713678695498089e-16
2037,11.887452876150325,9.264412140691707,17.672134178216425,40.204946027282,8.423096954798477e-16
2038,11.81811312388547,9.53220163232406,17.525597218039028,39.86946685659391,4.2040479398749507e-16
2039,11.740691064024302,9.833973845010464,17.360480154539168,39.491298651248435,5.617895367351743e-16
2040,11.655606545902405,10.16948221607349,17.177055756174212,39.071004995356596,4.2040479398749507e-16
2041,11.561815171024108,10.535208739845784,16.97367374149022,38.60478244841084,5.317746753017382e-16
2042,11.453201324247361,10.92031708503008,16.741620490350943,38.07278150658797,1.946096041571808e-16
2043,11.329691816766466,11.316451651701227,16.481550843320917,37.476491016269726,3.859620865476005e-16
2044,11.193363244838325,11.715122690334429,16.197712662738265,36.8256057496033,8.210588194141879e-16
2045,11.046428017773305,12.106564295763071,15.8949566575448,36.13123014993322,4.112974728850461e-16
2046,10.898141222277092,12.48853818451199,15.588530230891188,35.42813688880066,3.014879023651116e-16
2047,10.778579381039984,12.885558329685397,15.323217379496354,34.818228690559664,0.0
2048,10.695991705867314,13.301757371691984,15.111985087525477,34.33107205982156,2.1020239699374753e-16
2049,10.651216288517489,13.734580744288404,14.957033615944361,33.97176564806472,2.0564873644252306e-16
2050,10.644789424396818,14.182746272573045,14.859940483804046,33.74398886159513,3.035743487300196e-16
2051,10.672523407340229,14.640142918104626,14.815466380769191,33.63593038459865,2.3966760734920386e-16
2052,10.716692716566353,15.08243371011267,14.799524834229203,33.59298883172076,2.3568393477490445e-16
2053,10.772796335256386,15.503325589529279,14.806386496859243,33.60224016444745,2.3568393477490445e-16
2054,10.840622726074201,15.903662331687684,14.835973901621122,33.66356348750977,1.946096041571808e-16
2055,10.91985481067275,16.285188583664674,14.887778844478472,33.77583056292972,2.6469767916605734e-16
2056,11.009442766315187,16.649229561724418,14.960077279942682,33.93512958611747,1.9298104327380026e-16
2057,11.10625701335787,16.9942498631938,15.048185522351522,34.13081721881414,9.73048020785904e-17
2058,11.209165095412207,17.32176346071868,15.150062322487749,34.3582323248935,1.8117168181824847e-16
2059,11.317723269678158,17.634301582459834,15.264552538906974,34.61471457151869,1.5689927890095448e-16
2060,11.431508331985608,17.93428221909318,15.390516110507134,34.89763287885541,2.3568393477490445e-16
2061,11.54545007299939,18.216562057194597,15.520581967554767,35.19022703802777,1.9298104327380026e-16
2062,11.64045844990549,18.453359497380966,15.62862199035936,35.433215153227316,2.0641465617535843e-16
2063,11.711383900571212,18.63836135007005,15.707347889587053,35.61003964313734,1.1784196738745223e-16
2064,11.757757659871674,18.772489512075197,15.755783652663375,35.71845565683662,2.0526470485354698e-16
2065,11.779139726017064,18.856571060226646,15.773013372907728,35.75635584804126,1.517871743650098e-16
2066,11.779480176268628,18.898320919264552,15.764024067568581,35.73501618103359,1.507439511825558e-16
2067,11.775899367510059,18.926513976789945,15.751438448697838,35.70569103144043,1.4044738418379357e-16
2068,11.77255291146867,18.949057136513797,15.740540659917333,35.68033129455505,1.3234883958302867e-16
2069,11.76926173852275,18.96671046429054,15.730855352204502,35.65783581115186,1.5589026985689124e-16
2070,11.765854797710366,18.980070358907373,15.721956604778708,35.63721924817403,2.1830421439210327e-16
2071,11.765937678325196,18.995681461857135,15.718496844668932,35.629010591834906,2.635026496806565e-16
2072,11.78447816078491,19.03833580865739,15.740328955564776,35.6781957063798,2.0526470485354698e-16
2073,11.825197052784935,19.114590320433773,15.79229784192377,35.79574368103214,9.145271081277868e-17
2074,11.888029677041626,19.224787077640723,15.874214691889375,35.98121608258552,1.1305796338691686e-16
2075,11.972879588601646,19.369129632908177,15.98586812786988,36.234125344493904,1.2686993994970286e-16
2076,12.072559192298892,19.53627627494586,16.117595671181537,36.53256341740237,7.844963945047724e-17
2077,12.158658783601577,19.6804667607664,16.231419517433782,36.79044378145022,1.517871743650098e-16
2078,12.22389185055336,19.790059369721234,16.317577281896373,36.98563522775902,1.0951294159246489e-16
2079,12.268053062985977,19.864846698862483,16.375766049711817,37.11744820713556,1.517871743650098e-16
2080,12.290970456096204,19.904656766026566,16.40573171084846,37.18530422789398,7.844963945047724e-17
2081,12.297566510400756,19.9175525724467,16.414023614854145,37.20404590814381,2.1318414020807818e-16
2082,12.307996631618108,19.936260167817032,16.427525066529792,37.23460503795092,1.0951294159246489e-16
