time,Sum_steel_outflow,Sum_conc_outflow,Sum_engwood_outflow,Sum_dimlum_outflow,Sum_masonry_outflow
2017,2.0646606856138328,1.0780665031096786,3.1213223349686015,7.100089074642617,2.3568393477490445e-16
2018,2.135633649084129,1.1151251717785993,3.2286181717600964,7.344155504457125,2.0564873644252306e-16
2019,2.2075473910273935,1.152675090199483,3.3373362617516658,7.591457141745632,2.0564873644252306e-16
2020,2.2803437514665474,1.1906859769969385,3.4473886742456172,7.841793971342417,3.4356542151508134e-16
2021,2.353962235337159,1.229126446132066,3.5586839413416214,8.09495793365983,4.1052940970709397e-16
2022,2.428340406844694,1.2679642529688695,3.6711276516171427,8.350734275708541,2.3568393477490445e-16
2023,2.503414289656951,1.3071665396124823,3.7846230528397475,8.60890292259807,4.1052940970709397e-16
2024,2.579118780966871,1.3467000850955788,3.899071675771182,8.86923989696875,2.0564873644252306e-16
2025,2.655388082839708,1.3865315629857726,4.014373984172118,9.131518797987004,2.0564873644252306e-16
2026,2.732156152056899,1.4266278075997527,4.130430052800809,9.395512343988146,4.271078616839081e-16
2027,2.8093571681993175,1.4669560891242903,4.247140272984231,9.660993977811373,4.112974728850461e-16
2028,2.886926018553789,1.507484397277901,4.364406083589472,9.927739529888308,8.195198137135789e-16
2029,2.9647987973220737,1.5481817325256906,4.482130723555366,10.1955289303499,4.112974728850461e-16
2030,3.042913315553323,1.589018403274511,4.6002200005440885,10.46414795777647,3.658108432511147e-16
2031,3.121209617444282,1.629966327073457,4.71858306909702,10.73339000954011,5.02479837275186e-17
2032,3.199630498041944,1.670999333552072,4.837133210752494,11.003057876580536,5.617895367351743e-16
2033,3.278122016883898,1.7120934666065915,4.955788607824103,11.272965503728864,4.713678695498089e-16
2034,3.356634001847761,1.7532272832777964,5.074473102130895,11.54293971576556,8.210588194141879e-16
2035,3.4351205373915406,1.7943821468138754,5.193116929825871,11.812821889070035,4.112974728850461e-16
2036,3.513540431153075,1.8355425113727735,5.31165742313643,12.08246954796073,5.317746753017382e-16
2037,3.591857652677487,1.8766961957764519,5.430039669521998,12.351757864122664,4.112974728850461e-16
2038,3.6700417379470465,1.9178346437356064,5.54821711860292,12.620581037174102,4.112974728850461e-16
2039,3.7480681532859967,1.958953167921429,5.666152127057212,12.888853534064912,4.793352146984077e-16
2040,3.825918612182162,2.000051175207888,5.783816431636834,13.156511164896589,7.503624129151575e-16
2041,3.903581338924383,2.0411323705721687,5.901191540995907,13.42351197398354,3.892192083143616e-16
2042,3.9810512735630144,2.0822049374213667,6.018269037946051,13.689836927074516,4.112974728850461e-16
2043,4.0583302134036545,2.123281692387613,6.13505078482656,13.955490378092467,8.195198137135789e-16
2044,4.135426886962614,2.1643802128182,6.25154902578072,14.220500301265107,4.112974728850461e-16
2045,4.212356957086682,2.2055229353111687,6.367786380930846,14.484918277249678,4.659806312568836e-16
2046,4.289142950936885,2.246737223875573,6.48379572898203,14.74881922535692,5.617895367351743e-16
2047,4.365814115656908,2.288055406579439,6.59961997651116,15.012300877908306,4.2040479398749507e-16
2048,4.44240619976936,2.3295147799273543,6.715311714074885,15.275482997033738,4.112974728850461e-16
2049,4.518961161906666,2.3711575810266043,6.830932761633222,15.538506339592228,3.6234336363649694e-16
2050,4.5955268101642535,2.4130309287038103,6.9465536083030734,15.80153138162557,5.617895367351743e-16
2051,4.672156376440681,2.4551867352995265,7.0622527530806165,16.06473681745225,5.317746753017382e-16
2052,4.748908030876772,2.4976815911564674,7.178115954309436,16.32831785109448,4.112974728850461e-16
2053,4.825844342132118,2.5405766240404586,7.29423539662477,16.592484299905376,2.1318414020807818e-16
2054,4.903031689562784,2.5839373356471307,7.4107087846197786,16.857458531432325,4.793352146984077e-16
2055,4.98053963347198,2.627833417051484,7.52763837267554,17.12347325500341,4.112974728850461e-16
2056,5.058440249927919,2.6723385450605783,7.6451299408874736,17.39076919063781,4.713678695498089e-16
2057,5.13680743698186,2.717530161696264,7.7632917275183955,17.65959263901555,4.112974728850461e-16
2058,5.21571619930926,2.7634892392169523,7.882233328683614,17.930192976862617,8.210588194141879e-16
2059,5.295241918318593,2.8103000331338817,8.00206457599619,18.20282010216391,7.503624129151575e-16
2060,5.375459614672549,2.858049825629709,8.122894402747365,18.477721853262786,4.522318535476674e-16
2061,5.456443210034263,2.90682866175728,8.244829708987162,18.75514142543184,4.112974728850461e-16
2062,5.538264794676053,2.9567290807550215,8.367974235598723,19.03531480787744,4.713678695498089e-16
2063,5.620993907313244,3.0078458446418064,8.492427457043226,19.318468263195506,7.8489859724563e-16
2064,5.704696832991233,3.060275665676858,8.618283501675762,19.604815869528743,4.2040479398749507e-16
2065,5.7894359241941755,3.1141169334832313,8.745630107580242,19.894557143510756,7.553928317914462e-16
2066,5.875268950021455,3.1694694423845857,8.874547621394584,20.1878747610005,7.503624129151575e-16
2067,5.962248478104788,3.226434119502293,9.005108047327344,20.484932391989208,7.246867272729939e-16
2068,6.050421293795564,3.285112754207739,9.137374153337882,20.785872665546904,1.054010598722626e-15
