time,Sum_steel_inflow,Sum_conc_inflow,Sum_engwood_inflow,Sum_dimlum_inflow,Sum_masonry_inflow
2017,13.721042511693707,8.661060248091534,20.520520016641903,46.526915133182996,7.784384166287232e-16
2018,13.323869069337732,8.41413511469014,19.926110052805004,45.17918367371511,1.5340043668812249e-15
2019,12.930652070779415,8.170294072963566,19.337552316686082,43.844720511020384,7.784384166287232e-16
2020,12.539596517297408,7.928505134343089,18.752151061352258,42.517413364853006,5.02479837275186e-16
2021,12.152838551235824,7.690236971154415,18.173087597340192,41.20447519703224,7.784384166287232e-16
2022,11.784489433006001,7.464566873748791,17.621447096291604,39.95371298223295,3.481282431758256e-16
2023,11.438991955473648,7.254505679221447,17.103850915219656,38.78013932408085,7.0526405985995905e-16
2024,11.11720604231338,7.060844268574101,16.62155730783712,37.6866068199416,3.92449298622815e-16
2025,10.819889063364094,6.884364827336176,16.175664754939678,36.675605742546686,3.892192083143616e-16
2026,10.546255226192375,6.724935531888088,15.764956913693984,35.744377810331756,1.740641215879128e-16
2027,10.291106569636076,6.57968045716148,15.3816138414764,34.875192111199844,7.246867272729939e-16
2028,10.053532440968157,6.448530017178589,15.02421576562361,34.06482894938182,3.956530195236988e-16
2029,9.833999362531047,6.33239998952277,14.693388750895826,33.31470708934257,3.92449298622815e-16
2030,9.632902678156423,6.232292664299436,14.389636457332237,32.625967600757924,7.034717721852603e-16
2031,9.450006288597288,6.148958991600014,14.112499836955521,31.997568584989327,3.92449298622815e-16
2032,9.283147949797476,6.082068685329829,13.858621341420097,31.421896090127564,3.92449298622815e-16
2033,9.131490822289553,6.032337610343102,13.62659816015772,30.895767935933705,5.049859866736684e-16
2034,8.994676281417867,6.00101870113602,13.415710502232919,30.417550256237014,4.3224950003718e-16
2035,8.87230159916641,5.989591628067545,13.225135728546062,29.985375628444455,7.670021834406124e-16
2036,8.762061202488487,5.998513856100847,13.051173617640202,29.59085187711664,1.740641215879128e-16
2037,8.65607955768905,6.024577233274002,12.881795085018691,29.206702535809406,5.049859866736684e-16
2038,8.552072763358202,6.0684109827951564,12.713278213627822,28.8244857430042,3.481282431758256e-16
2039,8.449613366332876,6.132006227706033,12.544628732839259,28.441943670960985,4.293189611625733e-16
2040,8.34829001055047,6.217380726235845,12.374840061187289,28.056790258492697,3.892192083143616e-16
2041,8.242571643608624,6.322501204102641,12.195303074524494,27.64950253822301,5.049859866736684e-16
2042,8.111837921843444,6.43252195341006,11.97518863596601,27.150180898510495,7.71924173095201e-16
2043,7.9516597127467,6.542825410382615,11.70785345754449,26.543762895834053,0.0
2044,7.763133314682837,6.651498733689597,11.394991841987668,25.83409095180724,1.740641215879128e-16
2045,7.547677376997433,6.755235492858488,11.038975345625078,25.026544980294897,3.92449298622815e-16
2046,7.316609515324618,6.8582078764812024,10.656852401917384,24.15978091552522,4.740385304092977e-16
2047,7.10966784091676,6.992578347948934,10.306911081354128,23.36594593548231,3.6234336363649694e-16
2048,6.937033075591247,7.166208184662561,10.003939876486232,22.678566119641243,4.740385304092977e-16
2049,6.799189015822302,7.377920273900833,9.748653082302505,22.099260791730458,2.51239918637593e-16
2050,6.696568294418653,7.626289984305489,9.541805657834143,21.629742497896707,2.6825082713275603e-16
2051,6.624614601694389,7.90396426825908,9.377194321527512,21.25595201531368,1.28107724772655e-16
2052,6.564236456301144,8.18466250348593,9.228447571328806,20.918117555766564,1.962246493114075e-16
2053,6.511287393116041,8.457984758107223,9.09084897548216,20.60555963366724,3.6234336363649694e-16
2054,6.466334323786317,8.720022289940495,8.96634612243255,20.322704569047644,3.8267724309592347e-16
2055,6.429706766246023,8.967943169734308,8.856404767249195,20.072885092104407,3.6234336363649694e-16
2056,6.401890242684848,9.200600748156857,8.762480940153358,19.85940964198,9.400536974228339e-17
2057,6.3842167557618925,9.419509622526522,8.686912614275672,19.687582662766303,2.6707169690972034e-16
2058,6.376633436196289,9.625413521453682,8.629865396036257,19.557782230743197,3.6234336363649694e-16
2059,6.378622450806915,9.819180571516192,8.590650238117437,19.468447122777704,3.314082139712629e-16
2060,6.389626648140264,10.0021374607602,8.568349792559774,19.417496819822173,2.537398798994057e-16
2061,6.402474921768974,10.165393721414741,8.553082755187951,19.382535726286495,3.6234336363649694e-16
2062,6.390501172862421,10.268322594951302,8.509043447214342,19.28242113546732,3.1779615282007263e-16
2063,6.347319801825374,10.301588811372893,8.427678932003536,19.09777080316959,1.8290542162555736e-16
2064,6.2731886497806615,10.26675510546172,8.309190947782731,18.829040470743664,9.400536974228339e-17
2065,6.168359584953007,10.16566106505294,8.153672654764975,18.47643865569626,1.5889807641003632e-16
2066,6.038884339852985,10.00988644125542,7.968813144473221,18.057385616579428,1.978265097618494e-16
2067,5.907994452416908,9.839820978171819,7.784870207295224,17.640441247413843,9.400536974228339e-17
2068,5.781194666064661,9.666708827538956,7.608635353963341,17.240989813487243,2.537398798994057e-16
2069,5.658172295860204,9.491849573315626,7.439282852845938,16.85715551395842,2.461638414721857e-16
2070,5.538636433409365,9.316267628996902,7.2760815361503735,16.487277568548077,1.5889807641003632e-16
2071,5.427378523391669,9.149288167184478,7.125030528194054,16.14494634608321,1.8462288110413928e-16
2072,5.344197278120992,9.025417584133304,7.011854505101929,15.888449553379756,9.058584090912424e-17
2073,5.293344180417571,8.952863692383936,6.941886563210251,15.729868854803364,1.8462288110413928e-16
2074,5.273938942626752,8.930959553062955,6.913775244320922,15.666139664371128,1.8462288110413928e-16
2075,5.285072129101281,8.958799563154823,6.926175676534596,15.69421283511429,1.28107724772655e-16
2076,5.317512066731826,9.021212405701219,6.966874388963506,15.78641219690778,2.3568393477490445e-16
2077,5.337558201571793,9.061335381966138,6.9916427319927195,15.842518098159239,9.400536974228339e-17
2078,5.337090895792777,9.065557023408655,6.989803163354691,15.838335578633835,1.28107724772655e-16
2079,5.31640983044917,9.034524464596805,6.9617147908039865,15.774677962491973,1.5889807641003632e-16
2080,5.275847100638694,8.968925784705318,6.907782478272832,15.652462291679452,1.5889807641003632e-16
2081,5.221573043391375,8.87936291630762,6.8360578516252035,15.48993256675741,9.400536974228339e-17
2082,5.176936653830729,8.80565391308509,6.777081805472019,15.356291570090692,3.6234336363649694e-16
2083,5.1473935033609814,8.757191578648362,6.737968516401502,15.267659101244382,1.8462288110413928e-16
2084,5.132520674554387,8.733349735686451,6.718141557807796,15.222728762731869,1.28107724772655e-16
2085,5.131893926607405,8.733479929224378,6.7170276577617525,15.220201361839612,1.5889807641003632e-16
2086,5.143310879361557,8.753891631791527,6.7317300905391475,15.253513006640247,1.28107724772655e-16
2087,5.159298551337951,8.78190954798481,6.752457278660292,15.300476713029644,9.400536974228339e-17
2088,5.177832095023353,8.814119685882654,6.7765511260665265,15.35506937566312,2.3568393477490445e-16
2089,5.198686777949841,8.85016550209653,6.803711135930202,15.416610021297274,1.28107724772655e-16
2090,5.221643795439426,8.88969568779761,6.833645758179652,15.484437963015422,2.537398798994057e-16
2091,5.244493437088923,8.928965398275727,6.863458912280183,15.551990889382987,1.28107724772655e-16
2092,5.259152790405076,8.954226428242043,6.882569247510875,15.595292357744524,1.8462288110413928e-16
2093,5.263727268039452,8.962263142728245,6.888494873692543,15.608718596105303,1.5889807641003632e-16
2094,5.258354986503808,8.953319079366386,6.8814144858960065,15.592674487855096,9.400536974228339e-17
2095,5.243181777357997,8.927649649549046,6.861517185063755,15.54758849874979,1.8290542162555736e-16
2096,5.218359620916293,8.885519640581697,6.829000386898999,15.473907938160878,1.8462288110413928e-16
2097,5.184045307048103,8.827201087294489,6.784068032126928,15.372094903255672,1.5889807641003632e-16
2098,5.140399388410219,8.75297162462747,6.72692918357984,15.242623099733757,2.0255609807178312e-16
2099,5.087585483744049,8.663113420127516,6.65779708534026,15.085975709592073,1.8462288110413928e-16
2100,5.025769978569861,8.55791276808048,6.576888745612567,14.902644445654044,2.0410827477894196e-16
