time,Sum_steel_outflow,Sum_conc_outflow,Sum_engwood_outflow,Sum_dimlum_outflow,Sum_masonry_outflow
2017,5.161667958927341,21.372914343887786,7.888916423729806,15.406814746230246,11.905387609811449
2018,5.339098566694594,22.10760113069048,8.16009528074791,15.936418839920044,12.314631300354112
2019,5.518879130828467,22.85201869196489,8.434865643460656,16.47303709653784,12.729294620235674
2020,5.700863309516667,23.605562389615816,8.713003479864541,17.016232246703286,13.149037727334967
2021,5.884898691854394,24.367604174017817,8.994275002528978,17.565548305113737,13.573503780715725
2022,6.070827731973248,25.13749702525387,9.278437936349183,18.120513157898124,14.00232009752132
2023,6.258488682791832,25.914579319915234,9.565242806086317,18.680641173940735,14.435099438284338
2024,6.447716551149721,26.69817923496776,9.854434270984466,19.245435897621736,14.87144143361366
2025,6.6383440844917025,27.48761924291024,10.145752518625445,19.814392849037343,15.31093415484221
2026,6.830202793689305,28.282220725381013,10.438934722756178,20.387002442479787,15.753155825324583
2027,7.023124012785911,29.081308714454337,10.733716564628768,20.962753023337008,16.19767666415566
2028,7.216939993522336,29.884216757419047,11.02983381328335,21.541134015296677,16.64406084990042
2029,7.411485029881673,30.690291889032856,11.327023956471102,22.121639162216685,17.091868587454986
2030,7.60659660548911,31.498899684556765,11.625027870452243,22.70376984208775,17.540658257289465
2031,7.802116554818617,32.30942935869282,11.923591514132076,23.28703842499323,17.9899886226052
2032,7.997892227611565,33.121298868989,12.222467630679098,23.870971642384685,18.439421067061947
2033,8.193777644552188,33.933959976548195,12.52141743772466,24.45511393088068,18.88852183280301
2034,8.389634631029878,34.746903211757235,12.82021228541113,25.039030710195615,19.336864226377347
2035,8.585333914808915,35.559662688503174,13.118635260040802,25.62231155171635,19.784030758140062
2036,8.78075617279948,36.3718207078106,13.416482710106967,26.204573192290937,20.229615179676316
2037,8.975793011862168,37.183012090900526,13.713565671055013,26.785462346882124,20.673224383339345
2038,9.170347868591621,37.99292818190181,14.009711165099274,27.36465827359701,21.11448012839962
2039,9.364336813138811,38.80132046089121,14.304763352612747,27.941875044875633,21.55302055901821
2040,9.557689242477153,39.6080037092847,14.598584512164484,28.5168634795812,21.988501480798554
2041,9.750348449579567,40.41285867415514,14.891055827867552,29.089412693730537,22.42059736549401
2042,9.942272056528008,41.215834184838066,15.182077964990633,29.65935123205169,22.849002056900627
2043,10.133432301237558,42.01694868208105,15.471571417319495,30.226547747366514,23.273429155350755
2044,10.32381616864503,42.81629112386203,15.759476611810603,30.790911198714678,23.693612062329382
2045,10.513425358206689,43.61402123425388,16.045753758104404,31.35239054293684,24.109303671038127
2046,10.702276081757432,44.41036906962198,16.330382434160743,31.910973901656753,24.520275694983855
2047,10.890398688552148,45.20563388685781,16.613360903791424,32.46668719450794,24.92631763327428
2048,11.077837117391955,46.0001823101432,16.894705166815406,33.01959223922988,25.3272353787944
2049,11.26464818021847,46.794445812618505,17.174447749051808,33.56978433210684,25.72284948370662
2050,11.45090068673824,47.5889175539097,17.452636246436995,34.11738933619507,26.112993105475475
2051,11.63667442252237,48.384148626742544,17.729331641864754,34.66256031318491,26.497509663138086
2052,11.822058994699159,49.18074377151101,18.004606416255047,35.205473740391966,26.876250238462166
2053,12.007152560701753,49.979356621574276,18.278542477854998,35.74632535920364,27.249070761346083
2054,12.192060455844748,50.780684539829124,18.551228935177612,36.28532570408947,27.61582902210988
2055,12.376893735098843,51.58546310061461,18.82275973964677,36.82269536261971,27.976381556017778
2056,12.561767645012544,52.394460271234536,19.093231225469996,37.35866001988338,28.330580447874475
2057,12.74680004264241,53.20847035063638,19.36273957579318,37.89344534371726,28.67827010698903
2058,12.9321097789639,54.02830772521819,19.631378245145388,38.427271769077954,29.019284063989797
2059,13.117815064603844,54.854800503632866,19.899235368648775,38.96034924078438,29.353441841568014
2060,13.304031835887564,55.688784093816636,20.16639118850937,39.49287197392617,29.680545951065294
2061,13.490872139029243,56.53109478547416,20.432915527870126,40.02501329039726,30.00037906591282
2062,13.678442549900975,57.382563400246646,20.69886534133972,40.55692058848186,30.31270142154681
2063,13.866842645968743,58.24400906807231,20.964282370274155,41.08871050009761,30.61724848939491
2064,14.056163544646086,59.11623317438143,21.22919092840761,41.620464285568865,30.913728969607472
2065,14.246486519248071,60.000013503848166,21.49359584037718,42.15222351019718,31.201823143725626
2066,14.437881702722956,60.89609860192236,21.75748055422759,42.68398604412664,31.481181625798392
2067,14.630406889253436,61.80520237742951,22.020805448198896,43.21570242556992,31.751424547769886
2068,14.824106443865324,62.72799897288272,22.283506351336868,43.747272626097846,32.01214121239632
2069,15.019010331268868,63.66511794005759,22.54549329740443,44.27854325652646,32.26289024400795
2070,15.215133276651168,64.6171397727103,22.806649531717234,44.809305252241714,32.503200264647425
2071,15.412474070531564,65.58459184828737,23.06683078890704,45.339292073833484,32.7325711188203
2072,15.611015028119864,66.56794482361059,23.32586485703953,45.868178454159484,32.95047566456769
2073,15.810721612083269,67.56760952435731,23.5835514408225,46.39557971801778,33.15636214277187
2074,16.011542227029054,68.58393437054917,23.839662334416776,46.92105169651922,33.349657130125195
2075,16.213408193663394,69.61720338551474,24.093941912053594,47.44409125386692,33.52976907421159
2076,16.416233908235938,70.66763482782984,24.34610794055185,47.96413743672138,33.696092400390995
2077,16.619917189462814,71.73538047135905,24.595852712656832,48.48057324656232,33.84801217011423
2078,16.82433981109595,72.8205255406614,24.842844494236314,48.99272802465416,33.98490925948416
2079,17.029368212372457,73.92308927838505,25.086729270865813,49.49988042514213,34.10616601452672
2080,17.23485437175832,75.04302608481532,25.327132771044482,50.0012619364817,34.21117232648658
2081,17.4406368253958,76.18022715336105,25.56366273706728,50.49606089977895,34.299332058729185
2082,17.646541809032854,77.3345225188724,25.795911409469113,50.983426963035335,34.370069745375126
2083,17.852384499970054,78.50568343078922,26.02345818633602,51.46247590165964,34.422837471345666
2084,18.057970334807454,79.6934249675949,26.245872415588813,51.932294729624644,34.457121834557384
2085,18.263096379066752,80.89740881923062,26.462716276408408,52.39194702206147,34.47245088356431
2086,18.467552723743108,82.11724616279608,26.673547703609113,52.84047836579586,34.468400917714625
2087,18.671123882755225,83.35250055248012,26.877923307057003,53.2769218513086,34.44460303263621
2088,18.87359016510732,84.60269074400782,27.0754012379808,53.70030351945476,34.40074929207895
2089,19.074728996147176,85.86729337522452,27.26554395514439,54.1096476786678,34.33659840823437
2090,19.27431616373216,87.14574542864739,27.447920846483584,54.50398201362054,34.25198081660728
2091,19.472126968147517,88.43744641419977,27.6221106664853,54.88234241546777,34.14680303878786
2092,19.667937258815623,89.74176022793786,27.787703755953622,55.243777476006166,34.02105123697862
2093,19.861524345667778,91.05801666195731,27.944304018388596,55.58735260258174,33.87479387721342
2094,20.05266777802994,92.3855125587121,28.091530635514466,55.91215372636968,33.70818343392992
2095,20.241149989060126,93.72351262076896,28.229019513453387,56.21729059361032,33.52145708607574
2096,20.426756809839816,95.07124990979744,28.356424460979,56.50189964794004,33.31493637483782
2097,20.609277863523268,96.42792609264548,28.473418111525785,56.76514653097831,33.08902581417352
2098,20.78850685590069,97.79271151419259,28.57969261055837,57.00622824649086,32.844210467048256
2099,20.964241784071763,99.16474519522099,28.67496009910843,57.22437505006842,32.58105252214609
2100,21.1362850894347,100.54313486801036,28.75895303240026,57.418852140545226,32.30018692719736
