time,Sum_steel_stock,Sum_conc_stock,Sum_engwood_stock,Sum_dimlum_stock,Sum_masonry_stock
2017,407.9319530517438,217.19858722836403,624.0699042916104,1400.725104045193,5.6803606565961885e-14
2018,419.47544177420895,224.8531822668128,641.6464331635144,1440.1830112967405,2.0338953780484648e-14
2019,430.7862309086074,232.37908973552246,658.8667199750079,1478.840949460691,4.8558586604664855e-14
2020,441.8669731429012,239.78023429045922,675.7345773129695,1516.7075049195482,4.8558586604664855e-14
2021,452.72114492156777,247.0615509314101,692.2550251419174,1553.7939697456602,9.817627948039839e-14
2022,463.3597445734095,254.23341553358665,708.444484028783,1590.1372239120876,4.8558586604664855e-14
2023,473.7954202657369,261.30799679712743,724.321814328474,1625.7796200148225,5.6803606565961885e-14
2024,484.04046922363574,268.29811312669983,739.9052524140338,1660.7621060444296,2.0338953780484648e-14
2025,494.10687320072554,275.2174317766518,755.2124461636754,1695.1243053333667,4.8558586604664855e-14
2026,504.00381881506087,282.0790463478353,770.2566582788381,1728.895994099376,4.3145436421261385e-14
2027,513.7301817554959,288.89070310236895,785.035306963813,1762.0713784173383,6.684062268975852e-14
2028,523.2819466177169,295.6598259223383,799.54124476256,1794.6344128891574,5.3037502562016406e-14
2029,532.6546662480828,302.3953607384154,813.7664775220239,1826.567148741086,4.8558586604664855e-14
2030,541.8434305426159,309.1079988769728,827.702089779235,1857.8495661458253,4.409380106271228e-14
2031,550.8458508779875,315.81247814215766,841.3427503497087,1888.4696876690628,0.0
2032,559.6711272005971,322.5342834797396,854.7004354699911,1918.454381876368,4.409380106271228e-14
2033,568.3310603945615,329.3040570569179,867.7907084109373,1947.8385640370473,4.409380106271228e-14
2034,576.8369971859377,336.1558622428658,880.6280329531513,1976.6546755449506,4.8558586604664855e-14
2035,585.1997864179094,343.12742343825,893.2256690255726,2004.9324488424857,4.3145436421261385e-14
2036,593.4266758831509,350.257884786883,905.5909563423992,2032.6883200063419,4.8558586604664855e-14
2037,601.512097079271,357.5801511483855,917.7114356394645,2059.894275879364,5.3037502562016406e-14
2038,609.4470564675399,365.1267830236007,929.5691573453392,2086.509971750503,4.8558586604664855e-14
2039,617.2224628921779,372.93136820718405,941.145812785845,2112.494248442023,4.8558586604664855e-14
2040,624.8294572497286,381.0272612229419,952.4233703687806,2137.8065599624592,2.0338953780484648e-14
2041,632.2580104359232,389.44435265632205,963.3821653216227,2162.4026862421774,2.0338953780484648e-14
2042,639.4920568051726,398.20183164303035,973.9939058222294,2186.2190375481273,5.6803606565961885e-14
2043,646.515482764194,407.3106548586104,984.2309475421531,2209.19347414415,4.8558586604664855e-14
2044,653.3143447936603,416.77342017824907,994.0698529988179,2231.2732984619283,2.0338953780484648e-14
2045,659.8771440558309,426.5831014392106,1003.4919929443009,2252.416608957377,4.3145436421261385e-14
2046,666.2017639319746,436.73049421750073,1012.4938358543526,2272.615395557328,2.0338953780484648e-14
2047,672.3155883862008,447.2306974452478,1021.1161576552358,2291.961087509669,1.0626981705146602e-13
2048,678.2543665302159,458.1029107266735,1029.4125507962046,2310.5738765426463,6.495740925424786e-14
2049,684.0550594772673,469.3637909494842,1037.4387657467275,2328.5787970711203,4.409380106271228e-14
2050,689.755519639996,481.02869132510364,1045.2520849456232,2346.1043206698596,4.409380106271228e-14
2051,695.389907895954,493.1068571068191,1052.904571550834,2363.2672075187165,4.409380106271228e-14
2052,700.9757067191049,505.58334436681145,1060.424431689296,2380.1306945317524,2.9473944185633703e-14
2053,706.5263062371633,518.4368716185658,1067.8341497695526,2396.7451899622474,8.818760212542456e-14
2054,712.0549812830675,531.6468781254365,1075.1560573496272,2413.160766777157,4.8558586604664855e-14
2055,717.574675346787,545.1944104861103,1082.4118909843578,2429.4261686208292,9.817627948039839e-14
2056,723.0972107456723,559.0617043686557,1089.6215775509977,2445.586083106388,5.023351022372032e-14
2057,728.6312451029526,573.2293475733164,1096.8003009128627,2461.6745612535774,6.495740925424786e-14
2058,734.1841250895029,587.6793035038697,1103.961105867566,2477.720857676261,4.8558586604664855e-14
2059,739.7625143174977,602.3959227301532,1111.1157697780386,2493.7513843833112,2.0338953780484648e-14
2060,745.3724033504155,617.3658343461874,1118.2748166981667,2509.789741363644,4.0677907560969297e-14
2061,751.0146976345042,632.5704474823475,1125.4413652349842,2525.842920314882,6.169110127189459e-14
2062,756.6718963569716,647.9634860311648,1132.5926076211485,2541.8597780832806,5.023351022372032e-14
2063,762.3213222564478,663.4922794750379,1139.6984207035405,2557.772777682046,5.023351022372032e-14
2064,767.9395752392717,679.1049441088053,1146.7276055659943,2573.51198033416,5.6803606565961885e-14
2065,773.502575766916,694.7502933830012,1153.647954088993,2589.005194004869,4.8558586604664855e-14
2066,778.9897641782982,710.3846796354544,1160.4320874871985,2604.1910621700176,2.0338953780484648e-14
2067,784.3966802850842,725.9929096286614,1167.07488468806,2619.058131802161,4.409380106271228e-14
2068,789.7226770078234,741.567539399878,1173.5763706555076,2633.6064837480762,6.495740925424786e-14
2069,794.9668208409264,757.1017810809793,1179.9360400840008,2647.83500636572,4.8558586604664855e-14
2070,800.1279197649104,772.5893405770564,1186.1529184564185,2661.741532743067,6.169110127189459e-14
2071,805.2081475783556,788.030325222203,1192.2305908654314,2675.3341130539084,6.495740925424786e-14
2072,810.2239260811801,803.4493695561623,1198.1922303893873,2688.6646976772017,3.5810423437074033e-14
2073,815.1952313976852,818.8775307868368,1204.0657892592203,2701.7959389340617,4.8558586604664855e-14
2074,820.1419966261224,834.346116643763,1209.8790407370943,2714.7900776210313,4.8558586604664855e-14
2075,825.0840926824936,849.886547303852,1215.659570613314,2727.708924698069,4.8558586604664855e-14
2076,830.034548589002,865.5188857669184,1221.4254544873365,2740.592968719625,2.0338953780484648e-14
2077,834.9792103239928,881.2176408577704,1227.1572973586592,2753.3987191111373,2.0338953780484648e-14
2078,839.8969238340154,896.9456553218569,1232.8261172908972,2766.0612057754092,0.0
2079,844.7663194151467,912.6654665396348,1238.4027034355784,2778.5149527587155,3.247870462712393e-14
2080,849.5658553597713,928.3393444784771,1243.8576777711198,2790.694116582322,3.342031134487926e-14
2081,854.2787202076639,943.9374772890644,1249.168230264706,2802.5475782737817,3.7640804521557e-14
2082,858.9074871840503,959.4624832080422,1254.338223400052,2814.0839900581336,2.4279293302332428e-14
2083,863.459609691284,974.9250244782287,1259.3782264318966,2825.3270308872884,2.4279293302332428e-14
2084,867.9425744996698,990.3356530438485,1264.2988573001396,2836.3004867109116,2.4279293302332428e-14
2085,872.3639062214951,1005.7047992326717,1269.1107946052878,2847.028277761081,2.8401803282980942e-14
