time,Sum_steel_inflow,Sum_conc_inflow,Sum_engwood_inflow,Sum_dimlum_inflow,Sum_masonry_inflow
2017,57.261713161619504,181.95667385645964,85.03448817869267,189.68570788663956,38.2078945104161
2018,55.61122833680555,176.76303403920852,82.5723390673251,184.19073340221172,37.09887416674546
2019,53.97834541428244,171.63324043789706,80.13459791341079,178.74978971377155,36.00039847020725
2020,52.355761051533875,166.5454490064049,77.7101209300782,173.337946837849,34.907387504201
2021,50.75261328732285,161.5303197920225,75.31212327502537,167.98459844953578,33.8256925232002
2022,49.22810775873044,156.77827879164764,73.02802477046522,162.88463075665553,32.79447085919067
2023,47.80116856494868,152.35224487639584,70.88531876409995,158.0992265977547,31.825927238553735
2024,46.47584455133281,148.26843073113284,68.8892857181712,153.63998919243775,30.922255651232746
2025,45.258292760215205,144.54277467659574,67.04455902083197,149.5170386006175,30.08531897778061
2026,44.142110243887686,141.1719141688016,65.34619580535526,145.71909060646362,29.31263399514767
2027,43.10861908454426,138.094768082769,63.76189968283832,142.17381464694404,28.589397394255535
2028,42.15480620929157,135.30904704342203,62.285922579921156,138.8680302609536,27.912662496636955
2029,41.28350124077063,132.8329696727541,60.921025208409596,135.80745510940937,27.283222158021267
2030,40.49784529078935,130.6863515475115,59.66949626923698,132.996660636101,26.70156236914935
2031,39.79677783064131,128.8834782385773,58.52967458776579,130.43130275140942,26.166288122330396
2032,39.17296428900927,127.41568591632053,57.48792407235177,128.08022929635783,25.670526576526
2033,38.626853588984545,126.29592691715288,56.538765033356476,125.9303335254627,25.21091838833252
2034,38.159366197702816,125.54802401927986,55.67961128552776,123.97479574415738,24.785234221288324
2035,37.77217245223281,125.20010762127205,54.907518899055106,122.20581666670225,24.390899555531007
2036,37.45929157661451,125.25848585409051,54.207667946958566,120.5889768320107,24.01987320169173
2037,37.189919550993274,125.65263072884508,53.53068530442705,119.01288302252419,23.648693853014972
2038,36.95540685278783,126.39204589681559,52.861958673955584,117.442895419085,23.269179928785967
2039,36.77424901556219,127.5144349865118,52.19763215095264,115.86956482967311,22.878110203387692
2040,36.65452599937287,129.0579116878701,51.534083184017966,114.2833241772265,22.472224705625294
2041,36.53704079906396,130.97666076615394,50.83619602294267,112.60441959426342,22.034592113993487
2042,36.336461732221196,132.96119175162156,49.975739159833125,110.54806713959033,21.50887421487917
2043,36.08346258363613,134.91683735048855,48.92471017571415,108.05304640530879,20.88375237430148
2044,35.703560606576715,136.80713424413432,47.68944994671953,105.13529284198809,20.163894743793236
2045,35.234309602089574,138.56917377308156,46.281687295990174,101.81718047884608,19.356185666364997
2046,34.722565548030325,140.29532911454902,44.768916662039345,98.2566144527457,18.49409697049788
2047,34.322620387394906,142.64917579342085,43.390767402508445,94.99157553918728,17.68183573936106
2048,34.1380948985272,145.79330282442638,42.21221607321988,92.15858109039779,16.946008857094988
2049,34.101872621643885,149.70552363812152,41.2353732916223,89.7643826296023,16.288783996994283
2050,34.24522431345598,154.35901382952574,40.46335134877158,87.81613799631108,15.712552354650784
2051,34.509685403658,159.60738525919982,39.86923751927713,86.25700889136823,15.208453938119877
2052,34.8201263597171,164.92377499754684,39.33988272477267,84.84485006319882,14.736015504188043
2053,35.12405245530673,170.13023707216678,38.85497138147629,83.53697421637426,14.291235453329751
2054,35.43919509071874,175.1016407834769,38.41871433102116,82.35190482771291,13.880423011143112
2055,35.769297676390075,179.8099631240987,38.037611208243284,81.30357713239765,13.508262933792945
2056,36.078697758184994,184.2344522801261,37.71728161710669,80.40565613647692,13.178461811116346
2057,36.38656494227073,188.40637694737498,37.472458363458536,79.67971232648166,12.895066597412482
2058,36.708450251252074,192.34045055676359,37.2942994615915,79.12721762558806,12.657999005744362
2059,37.051027631949104,196.05310307862672,37.185058890078324,78.7416888046882,12.46531495857079
2060,37.41296066642926,199.56940612930154,37.14137540458582,78.51446950355158,12.314330422747345
2061,37.73266116993288,202.71037687111297,37.12155652296549,78.35473466041954,12.189338561903803
2062,37.86479735166505,204.66472744224615,36.97047993719056,77.93426545174613,12.038213431608602
2063,37.79225033039135,205.2458336204641,36.65028137911366,77.17462391524353,11.848293440774444
2064,37.49972024761455,204.4840629552593,36.16287708053982,76.07751804650401,11.619113169811317
2065,37.00275275495034,202.41503431393446,35.50911164443869,74.64361529914223,11.349821518499555
2066,36.319365786481406,199.2681366095111,34.722977590124955,72.94309010207562,11.049987275109897
2067,35.607982378393636,195.84599935855036,33.93692358074252,71.25264952425978,10.760212016271852
2068,34.90510191480975,192.37084261809784,33.181230786107974,69.63416327770528,10.488369230579176
2069,34.21197030938224,188.86714064942268,32.45289369641932,68.07981695570518,10.23198406761397
2070,33.5293077433564,185.35412382825513,31.749218850790072,66.58270470383039,9.988936993947254
2071,32.888177064178414,182.01635722206242,31.09680009514154,65.19754348695119,9.766528344026396
2072,32.410382797153055,179.53944835531794,30.608284649543673,64.15956495168186,9.599181436835337
2073,32.12336830814089,178.08588551091376,30.30729296255638,63.51742011364504,9.49343281480862
2074,32.023116769245576,177.6417729061179,30.188197347853656,63.258624972984,9.446821919343572
2075,32.105127975045825,178.1886117720712,30.245336248023598,63.37078294717191,9.45703785539856
