time,Sum_steel_stock,Sum_conc_stock,Sum_engwood_stock,Sum_dimlum_stock,Sum_masonry_stock
2017,560.2140132115998,3952.4901858879803,705.3225481747712,1604.1018118572608,2345.9919844643796
2018,575.3716530489179,4080.9366275622365,718.5858160155431,1640.4979419432466,2370.7535588224764
2019,589.906462306339,4205.038714628905,731.2326937541027,1675.2921676301305,2393.9978005520493
2020,603.8191386978991,4323.914102587097,743.2654825503774,1708.4879329340113,2415.724344874919
2021,617.1146553965461,4437.187771091895,754.7303807168618,1740.0960222398257,2435.9389015230745
2022,629.8193388355257,4545.138213602744,765.750723220723,1770.1747276273668,2454.686506085804
2023,641.962081317155,4649.806902533648,776.1843085334308,1798.7973906693812,2472.024555770416
2024,653.597375223117,4750.265213371585,786.0448163097016,1826.0403619692534,2488.0127715649805
2025,664.7193749192345,4846.831316501468,795.3158334823819,1851.9826304343085,2502.7128179659594
2026,675.3810872629379,4939.597917140904,804.1278256188236,1876.7006142475564,2516.183903614811
2027,685.6096609150842,5028.107519049382,812.5074839086324,1900.2533327011245,2528.4704308290366
2028,695.4338078792912,5113.449087365478,820.4812511163461,1922.6967370685393,2539.6137435514024
2029,704.9209523435134,5196.5224739652795,828.0824004680993,1944.0882645206345,2549.655742801706
2030,714.013983862637,5277.337837723065,835.3305815760302,1964.486520471978,2558.6384388214974
2031,722.8138181516385,5354.70044886341,842.2620547452544,1983.949068890002,2566.6019103939775
2032,731.4020197695916,5430.99043817943,848.9358213066281,2002.5258810236478,2573.5786804652344
2033,739.7178695383244,5505.404325756399,855.3253449867545,2020.2636496391726,2579.5969947191234
2034,747.7837006101831,5577.7799928130025,861.492424070456,2037.2072401508458,2584.6816873627463
2035,755.6500036239343,5648.610625571048,867.4723899353511,2053.399370726593,2588.853548706454
2036,763.3277021302056,5717.705980579584,873.3007041278662,2068.8740873645393,2592.123653136902
2037,770.6556145502935,5785.924892799687,879.0056317906096,2083.6381046450056,2594.4780926456096
2038,777.8422833189433,5853.60296221425,884.6158125648119,2097.6893351655763,2595.892894441404
2039,785.1373620742148,5921.398124083145,890.1628976092446,2111.0229331111036,2596.3387485177336
2040,792.3641033487502,5988.264981448925,895.681574720503,2123.631240402416,2595.7809231364904
2041,799.5339240771987,6055.927970510483,901.2017641430043,2135.486952551757,2594.1664590126097
2042,806.6352316600639,6123.313305601442,906.7243083904382,2146.494230837352,2591.3883227152437
2043,813.5118823448319,6190.638631699636,912.2415550094781,2156.5429452734807,2587.3303611060946
2044,820.0583501597288,6258.638211351695,917.7431589605407,2165.527596068655,2581.884098800213
2045,826.636740274986,6326.287279258917,923.2140177485373,2173.349294842295,2574.952663834486
2046,833.2962658112089,6393.513429056111,928.648776864713,2179.9483053454974,2566.476003158177
2047,839.9259763405267,6459.5464068040965,934.0710122153199,2185.393511765642,2556.490608897232
2048,846.4078362775597,6525.130217074973,939.6165364932511,2189.786504415317,2545.05808578856
2049,852.74548029674,6591.704368942134,945.3167285913319,2193.230873214217,2532.243907362159
2050,859.3678351340369,6660.485379995386,951.2510807377143,2195.8323590560135,2518.11789384419
2051,866.2081331331957,6731.464894794835,957.468386771416,2197.6840872180946,2502.746041781898
2052,873.277545197132,6804.342071476679,963.8369231774511,2198.824295995816,2486.169669220851
2053,880.5223048275649,6878.5399696913955,970.2333175532502,2199.2829798338817,2468.434893842433
2054,887.9339977293556,6957.095134823679,977.1923986836655,2199.095779421704,2449.599138944775
2055,895.5013366378139,7037.574852585709,984.4878796850129,2198.302530101304,2429.7281942334
