time,Sum_steel_outflow,Sum_conc_outflow,Sum_engwood_outflow,Sum_dimlum_outflow,Sum_masonry_outflow
2017,5.160588379593644,21.391669243355455,7.875676550830815,15.551625064342248,11.906179799363573
2018,5.337984600784727,22.12701200073287,8.146404451735538,16.086215176334832,12.315457027049002
2019,5.517732149726406,22.872101481124517,8.420720760679526,16.627891101976708,12.730159087893796
2020,5.699683844805363,23.626327587363033,8.698400860875712,17.176209303998498,13.149946413867251
2021,5.88368411638763,24.38904545231588,8.97920733441197,17.730700967498098,13.574460084504754
2022,6.069569102682445,25.15957583642663,9.262890108552954,18.29087228876867,14.003322047705293
2023,6.2571668555676165,25.937205981318627,9.549186769866775,18.856205095412342,14.43613559363671
2024,6.446297646844283,26.72119088012026,9.837823031647403,19.426157768938026,14.87248605933572
2025,6.636774367789998,27.51075493517203,10.128513343786391,20.000166448290848,15.311941747000574
2026,6.828403015374491,28.305093975854362,10.420961635025053,20.57764649420489,15.754055040001962
2027,7.020983258153066,29.103377607866395,10.71486217701857,21.157994193233705,16.198363699702597
2028,7.214309074083406,29.90475186211517,11.009900558509244,21.740588677966528,16.6443923242332
2029,7.40816945152988,30.708342107316554,11.30575475645944,22.32479403698662,17.091653948111336
2030,7.6023491436527575,31.513256185997882,11.602096289428195,22.909961584890173,17.539651758827407
2031,7.79662946530941,32.31858772914822,11.898591436919782,23.49543225947507,17.987880904096524
2032,7.990789120597218,33.123419600609715,12.19490250699351,24.08053911019045,18.435830360937203
2033,8.184605048291505,33.926827418647484,12.490689133195067,24.664609839307946,18.882984835649463
2034,8.377853271736027,34.72788309921219,12.785609580920301,25.246969355183666,19.32882666200741
2035,8.570309739268806,35.52565836338366,13.07932204273223,25.82694229555695,19.772837663807827
2036,8.761751141053221,36.31922815055035,13.371485901970239,26.403855478214705,20.214500947219552
2037,8.95195568826759,37.107673879142226,13.661762944285774,26.9770402366077,20.65330258855944
2038,9.140703841013986,37.89008649833665,13.94981849752536,27.545834599255976,21.088733183841295
2039,9.327778972052524,38.66556927716056,14.235322481715295,28.10958527406842,21.520289228079434
2040,9.512967954566257,39.43324028185473,14.517950352772395,28.667649402001413,21.94747429482584
2041,9.696061663610907,40.19223449825272,14.797383925987274,29.219396048931916,22.36979998946061
2042,9.876855382688117,40.941705563221944,15.073312068269827,29.764207409972958,22.786786653916348
2043,10.05514910898982,41.68082707779981,15.345431251587623,30.30147970689427,23.197963805276657
2044,10.230747753246067,42.40879348442991,15.613445963901134,30.83062376650763,23.602870295904882
2045,10.403461232741968,43.12482050146534,15.877068978159054,31.351065275856584,24.001054188916623
2046,10.573104458886764,43.82814511963932,16.13602148445531,31.86224471858152,24.39207234910306
2047,10.739497223664847,44.51802517727128,16.390033095194937,32.36361700575544,24.775489756193355
2048,10.902463992307208,45.193738543285036,16.63884173795707,32.85465082358096,25.150878553977286
2049,11.061833612519022,45.854581949385455,16.882193455562913,33.33482772943919,25.517816856036937
2050,11.217438953520015,46.49986952467171,17.119842137569115,33.80364103659672,25.87588733499057
2051,11.369116490916031,47.12893109725859,17.35154921187023,34.26059453628743,26.224675628993467
2052,11.516705855976506,47.741110337874936,17.577083329239816,34.705201113599784,26.56376860456635
2053,11.660049370161762,48.33576282965066,17.796220077356708,35.13698132052865,26.89275252055027
2054,11.798991587698783,48.91225415619312,18.00874176408275,35.555461975455756,27.211211142016463
2055,11.933378870585122,49.46995810642862,18.214437312415868,35.96017486319613,27.518723857004336
2056,12.063059021602736,50.00825509942372,18.413102311608377,36.350655613388135,27.8148638515276
2057,12.187881001710021,50.526530935460194,18.60453927036715,36.726442837477464,28.099196400480484
2058,12.307694758568392,51.02417598098808,18.788558118863502,37.08707760577697,28.371277332789912
2059,12.422351192944337,51.50058489475246,18.964977006454237,37.432103346125416,28.630651729731053
2060,12.531702289327507,51.95515700046536,19.133623441595507,37.76106624454576,28.876852914354934
