time,Sum_steel_stock,Sum_conc_stock,Sum_engwood_stock,Sum_dimlum_stock,Sum_masonry_stock
2017,1031.6087889713167,4337.695438821248,1574.6036957785846,3067.9994401513463,2363.0342512745497
2018,1061.0738657598993,4485.332308432518,1612.9954462819999,3147.232642437099,2389.349629312232
2019,1089.968296838159,4630.411631493146,1650.5709642166219,3224.7941668551507,2414.7659664621024
2020,1118.3029988601913,4773.008461247909,1687.3409430760491,3300.7002850258727,2439.2835587406016
2021,1146.0918281250847,4913.216261895762,1723.3193211136247,3374.9726589456113,2462.904267271504
2022,1173.3688865601664,5051.232584314643,1758.5462382736034,3447.6849089739985,2485.650246450197
2023,1200.1737879766056,5187.2882391471,1793.0681274637807,3518.9216002939984,2507.5470517347185
2024,1226.5468230961562,5321.624976711341,1826.9310225418012,3588.764188133341,2528.6176817393502
2025,1252.5293741162711,5454.499103224023,1860.1808387908175,3657.291123072352,2548.8823224226912
2026,1278.157909340625,5586.153694051285,1892.8550717669773,3724.5604356693693,2568.3509734277877
2027,1303.4449371034782,5716.726102623151,1924.957222596957,3790.5573223973824,2587.0020328089904
2028,1328.3983802236312,5846.344878710106,1956.4823255054437,3855.2456337933286,2604.802804859327
2029,1353.0283198819268,5975.165059134958,1987.425565175286,3918.5847926280067,2621.7159342324367
2030,1377.3473540945295,6103.372089375501,2017.7823819317232,3980.5293727914186,2637.698821660011
2031,1401.3788910676562,6231.22573600807,2047.558980219436,4041.049574018099,2652.711300666814
2032,1425.1818258145559,6359.188368698155,2076.8040062331656,4100.193679368968,2666.739553459567
2033,1448.8279648231476,6487.816371757934,2105.5780540147007,4158.025258216257,2679.7702490403253
2034,1472.3946391670859,6617.726095675173,2133.9434315671774,4214.6016617953155,2691.7814073343798
2035,1495.9650594633608,6749.597974066217,2161.964224357923,4269.973456195718,2702.7417108733503
2036,1519.6199384340846,6884.133408287503,2189.695466067922,4324.162938077014,2712.602188397082
2037,1543.410841763022,7021.909151236157,2217.1501512257055,4377.101251202564,2721.2736072031967
2038,1567.383833825113,7163.4915197823075,2244.3310929255845,4428.6938542652015,2728.6533454855767
2039,1591.586537474287,7309.464037237094,2271.2415490940743,4478.844232967958,2734.63634917567
2040,1616.0662815058959,7460.405274725038,2297.88500703424,4527.457292973242,2739.119029087491
2041,1640.8622949518242,7616.829994721192,2324.258318549633,4574.431394220322,2742.0000024774317
