time,Sum_steel_inflow,Sum_conc_inflow,Sum_engwood_inflow,Sum_dimlum_inflow,Sum_masonry_inflow
2017,9.348359794545587,5.959444762991917,13.982737760446707,31.91889496138407,7.503624129151575e-16
2018,9.231650067529138,5.894690429050401,13.815936544786457,31.513798612012604,4.632635198651872e-16
2019,9.098096834626944,5.820894364391539,13.627154583254875,31.049318072086862,5.02479837275186e-16
2020,8.942642084657493,5.735028807736343,13.41016799514527,30.507589191631396,4.0511219614356623e-16
2021,8.75995153214118,5.633850946247937,13.158852601122657,29.869616110786552,2.4098086434333824e-16
2022,8.543809849206172,5.513475270958967,12.866424603154755,29.11315983625083,3.3707372204110457e-16
2023,8.29072630993439,5.371648341520045,12.531026962470621,28.224970796157507,4.632635198651872e-16
2024,7.99893236857659,5.207065647055261,12.154417486715042,27.197284651739892,3.3707372204110457e-16
2025,7.668241301834651,5.0192306950001315,11.741906354976788,26.027255528635404,7.503624129151575e-16
2026,7.3001238738072285,4.808448270332116,11.302495965118817,24.71713163014319,6.741474440822091e-16
2027,6.897567870094104,4.5756764267172985,10.848424470061405,23.273728100910613,4.713678695498089e-16
2028,6.467334267787002,4.323987939489083,10.39807359070367,21.716028189583575,5.02479837275186e-16
2029,6.018820148565079,4.057848839659133,9.97321413222099,20.071292373387163,5.02479837275186e-17
2030,5.563235432378236,3.7826331789976426,9.596131460656174,18.372323970774655,4.0511219614356623e-16
2031,5.11248040136613,3.5039764789202628,9.285777420875627,16.653896141127397,2.0255609807178312e-16
2032,4.6776644635006965,3.2269281568002537,9.053157481764526,14.948327280350885,2.0717774438287659e-16
2033,4.270570784120125,2.957200945782381,8.90321349757777,13.290865360363117,2.51239918637593e-16
2034,3.9014758775759284,2.6999896691031897,8.832427263232454,11.71322482335186,1.6474903213166525e-16
2035,3.577834502086679,2.459377910562352,8.829548741615904,10.240339337658513,2.316317599325936e-16
2036,3.303963264348072,2.238388811019241,8.879325974115433,8.89026849623124,2.51239918637593e-16
2037,3.0812497189521317,2.039245112573155,8.967318675418378,7.675003495558119,1.5889807641003632e-16
2038,2.906771941519408,1.8623444719235642,9.078065217931403,6.596651392270093,1.8759060322878937e-16
2039,2.7748574085589586,1.7070407934139251,9.19815138921807,5.651349861181875,1.5282327632039241e-16
2040,2.678411801441008,1.5720743153524637,9.317469322405161,4.8314815665928315,1.256199593187965e-17
2041,2.6099180123671393,1.4557484246587464,9.428824674681383,4.126867063386779,1.256199593187965e-17
2042,2.5621883876800053,1.356069958185703,9.527025470915335,3.5258154637087467,7.944903820501816e-17
2043,2.529258438996067,1.2711072288319478,9.609663058698205,3.0166079387764086,1.1375371126688566e-16
2044,2.5064113323481405,1.1989869325361315,9.6760102903437,2.5877591589799147,7.944903820501816e-17
2045,2.4900735624702643,1.137931514535461,9.726298224944502,2.2283680626842575,5.102706869473549e-17
2046,2.478455868371253,1.0866580678663231,9.76450160966944,1.92903148340291,6.374516727688808e-17
2047,2.472947744641339,1.0450134171621137,9.804498588178761,1.6826851388648822,8.213470619434867e-17
2048,2.4731213588374525,1.0118749245023186,9.850927124618345,1.480923828766417,1.2546283610618704e-16
2049,2.4781866446788814,0.9859923882529887,9.905231430233775,1.3160761434089667,4.985387580953796e-17
2050,2.4876568392339764,0.9663253313061586,9.968748997369804,1.1817418592420559,6.52740455954673e-17
2051,2.5009072482773567,0.9518835538182143,10.041316195595563,1.0724672056187234,4.985387580953796e-17
2052,2.5164246600887443,0.9414561179383697,10.118515662957659,0.983378066457932,1.1834306943834852e-16
2053,2.533801705886104,0.9343633876491185,10.199883813992578,0.9109022417684363,8.634944585634873e-17
2054,2.553023455165025,0.9301525438499066,10.28620731273873,0.852208729623884,7.050402730671254e-17
2055,2.574105972495479,0.9284501934736951,10.378167474718808,0.8049544933534207,4.985387580953796e-17
2056,2.5966507820442937,0.9287947775622819,10.474609008160934,0.7670772703965862,4.985387580953796e-17
2057,2.618960480450868,0.9303196151813914,10.569013940587585,0.7365116330678587,4.985387580953796e-17
2058,2.6406162599780947,0.9326670325545494,10.659932523110148,0.7118923213872257,4.985387580953796e-17
2059,2.6616279682637476,0.9356661708030428,10.747585649847581,0.6921899221130946,4.985387580953796e-17
2060,2.682001922950508,0.9391726954197948,10.832137464812359,0.6765447732646166,4.985387580953796e-17
2061,2.701351194550321,0.9429287450378453,10.912131972135178,0.6641442686103779,4.985387580953796e-17
2062,2.718128352183637,0.9462940306087381,10.981400098765118,0.6540253734879298,9.970775161907592e-17
2063,2.731959681349001,0.9490572970304545,11.03849470955986,0.6456277336364094,9.970775161907592e-17
2064,2.7428589230358633,0.951155363454296,11.083521017430314,0.638561948315189,7.050402730671254e-17
2065,2.7508367776129927,0.9525346606073836,11.11656217928883,0.6325004433545326,8.634944585634873e-17
2066,2.756459618013599,0.9533429317639079,11.139939353676864,0.6272953142282582,4.985387580953796e-17
2067,2.7619670396081366,0.9543130712528329,11.162730504674249,0.6232170161422721,4.985387580953796e-17
2068,2.7679134034102697,0.9556004841910922,11.18719872325704,0.6201835911924478,4.985387580953796e-17
2069,2.7742885733432856,0.9571717070191815,11.21332137056187,0.6180212773076947,4.985387580953796e-17
2070,2.78107814264374,0.9589972147384009,11.241054976736635,0.6165864539014109,4.985387580953796e-17
2071,2.7879759617482653,0.9609513628971008,11.269173988006283,0.6156965273430421,8.634944585634873e-17
2072,2.793791639734358,0.9626076205648002,11.29287627780187,0.6149959138336614,4.0705519144483213e-17
2073,2.798165126436878,0.9638288867063556,11.310714046805316,0.6143308843829506,8.634944585634873e-17
2074,2.8010143296186714,0.9645761766968046,11.322361625301669,0.6136223097582226,7.050402730671254e-17
2075,2.802248598080461,0.9648094344495615,11.327457630692173,0.6127999075411439,4.985387580953796e-17
2076,2.8015114330358344,0.9643986399144536,11.32456513215589,0.6117442091638214,4.985387580953796e-17
2077,2.797696293476661,0.9629569419991304,11.309214508214554,0.6101797581673981,4.985387580953796e-17
2078,2.7905032025811054,0.9603762739479966,11.280195866670038,0.608013674009254,4.985387580953796e-17
2079,2.7798994683160814,0.9566413984641834,11.237379293259401,0.6052161121839738,7.050402730671254e-17
2080,2.765859493095437,0.9517401931084994,11.180663168772128,0.6017626139465786,4.985387580953796e-17
2081,2.749350298977407,0.9460026412842005,11.113958115274547,0.5978477768917374,4.985387580953796e-17
2082,2.734302068621043,0.9407786508144611,11.053152818159237,0.5943125551494427,4.985387580953796e-17
2083,2.721693343354037,0.9364028048240767,11.002204104919462,0.5913576786223774,4.985387580953796e-17
2084,2.7115204977373253,0.9328721353158168,10.961098276761438,0.5889725558259358,8.634944585634873e-17
2085,2.703783304162679,0.9301851770582916,10.929835184105103,0.5871492353657222,7.050402730671254e-17
2086,2.6976983091992777,0.9280712851468479,10.905248394686321,0.585711244576015,7.050402730671254e-17
2087,2.6901083749512744,0.9254434618136169,10.874575891072974,0.5839681727823194,4.985387580953796e-17
2088,2.680189566696777,0.9220175920666577,10.834487344629316,0.5817373587364042,4.985387580953796e-17
2089,2.6679016781736773,0.9177793022168153,10.78482052487281,0.5790069864653603,8.634944585634873e-17
2090,2.6532050595531342,0.9127145048468932,10.725415397985469,0.5757659011803461,4.985387580953796e-17
2091,2.6363507503906587,0.9069091887419988,10.657286980642802,0.5720664728451375,4.985387580953796e-17
2092,2.6184771204909407,0.9007546461458825,10.585037234418522,0.5681539584999599,4.985387580953796e-17
2093,2.599878103287411,0.8943517309205831,10.50985451112832,0.5640906596092304,4.985387580953796e-17
2094,2.5805620659559168,0.8877031085565129,10.431772752424001,0.5598771793526406,2.8783148618782913e-17
2095,2.560538106340674,0.8808117349126043,10.350828832022152,0.5555145017319577,4.0705519144483213e-17
2096,2.5398153853884295,0.8736806194592989,10.267059861055191,0.5510038061904735,7.050402730671254e-17
2097,2.518402493088464,0.8663126013417989,10.180500628148325,0.5463462968766547,4.985387580953796e-17
2098,2.4963068694064225,0.858710145420086,10.091181261217974,0.5415430498734058,4.985387580953796e-17
2099,2.473534300527148,0.850875165081683,9.999125193221746,0.5365948817040515,2.8783148618782913e-17
2100,2.4500885088790056,0.8428088780240807,9.904347506620885,0.5315022422256845,4.985387580953796e-17
