time,Sum_steel_inflow,Sum_conc_inflow,Sum_engwood_inflow,Sum_dimlum_inflow,Sum_masonry_inflow
2017,40.58334218824474,125.66281584028985,66.04097209998804,133.32854222520618,26.328565507241066
2018,40.318398574571404,124.28556537388445,66.89471169915097,132.37747995643915,26.027030404570933
2019,40.03125425921478,122.71542951695932,67.95789502511285,131.3176835380974,25.68264277434742
2020,39.726083617534044,120.88822584679077,69.24817610778696,130.0954703230062,25.281588627708214
2021,39.34006367569396,118.73523959320212,70.73211754894675,128.65216858362518,24.809108954058836
2022,38.86227426594231,116.17424191821834,72.44996462999146,126.91301882117482,24.247657801944268
2023,38.33053587957423,113.1574655636751,74.464824423367,124.83764646735821,23.586964945397757
2024,37.662413758120394,109.65723055506197,76.65254087320517,122.40345423065725,22.821058718774523
2025,36.916429296562065,105.66301024953022,79.08802388541699,119.6008616751749,21.947693206012772
2026,36.079078287067084,101.18133151604421,81.69172921618909,116.43134411380618,20.968374513307804
2027,35.12925250527429,96.23270744983903,84.55643905119507,112.9018522213876,19.88777728016424
2028,34.09210653816986,90.88240809581927,87.58096159213336,109.05944211416258,18.720141267281157
2029,33.00068335397429,85.22423444008112,90.73210959906172,104.97536467902835,17.486076982471914
2030,31.877787264189678,79.3729165130644,93.94633081740045,100.73537175925628,16.21038624253038
2031,30.723827148860295,73.44853312032846,97.1896275599625,96.42620048608931,14.919176965333019
2032,29.582112684479497,67.55861817130335,100.32549822194551,92.11564512885056,13.636149859195744
2033,28.524220052182194,61.824571227716504,103.41936003800433,87.89168541505917,12.387771897254687
2034,27.482456253841242,56.356724131368,106.26087380559066,83.83723958303703,11.19802218805319
2035,26.578835205000754,51.24181915706591,108.85723034350892,80.01749793129879,10.085752960885221
2036,25.707335985567067,46.54400669075841,111.16534251048833,76.48418708097864,9.064817412465718
2037,24.8945836102749,42.31020485701933,113.28029703169477,73.28639352072665,8.145062486614645
2038,24.206184522631673,38.54884531287146,115.09218294195574,70.43338132846968,7.328246567691103
2039,23.601468871307386,35.246291436289034,116.73334829933935,67.91437073035814,6.61141937762739
2040,23.056488306152133,32.37588414961353,118.18332628142511,65.70890384624123,5.9887976338464775
2041,22.57951987065717,29.90171618442451,119.35343168851799,63.788682506011746,5.452610619874321
2042,22.1563591587167,27.78177900040409,120.23544537402162,62.11813378786939,4.993798589505792
2043,21.786443854793493,25.97487585471892,120.9037981183933,60.66608330629975,4.603477450768735
2044,21.467387183260065,24.441422742915883,121.38251234730978,59.40329304411179,4.272998006728757
