time,Sum_steel_stock,Sum_conc_stock,Sum_engwood_stock,Sum_dimlum_stock,Sum_masonry_stock
2017,409.45768469971125,215.28589132051425,614.0586124753041,1404.0834350624043,4.362219604822272e-14
2018,416.5688462182163,220.0612694784633,624.6855664086308,1428.333292163077,4.362219604822272e-14
2019,423.4744648227401,224.7261734190446,635.0092696611874,1451.8740678528989,4.362219604822272e-14
2020,430.1514054395921,229.26803167072853,644.9963721996941,1474.6255143842998,9.583079623816206e-14
2021,436.57110101520715,233.67106825701453,654.6057671615879,1496.4885998493592,4.362219604822272e-14
2022,442.69861188475153,237.91566156300823,663.7872743969364,1517.342276330387,4.362219604822272e-14
2023,448.49526828975013,241.9799746576798,672.4857019403017,1537.0524803253256,5.185436110637648e-14
2024,453.9202851389308,245.8409043033493,680.6433826021448,1555.4776285681808,4.362219604822272e-14
2025,458.9322074854149,249.47488968545645,688.2024598073019,1572.4735465372546,2.8763624280840925e-14
2026,463.49040188627424,252.85871470392107,695.1072277460786,1587.8985719152945,5.185436110637648e-14
2027,467.55638361616155,255.97016269079197,701.3061810786859,1601.6181301438653,5.185436110637648e-14
2028,471.09737106990497,258.7901305913096,706.7573692819889,1613.5169102731938,5.3037502562016406e-14
2029,474.0886942505596,261.3040227513938,711.4319715528258,1623.5071489839047,2.8763624280840925e-14
2030,476.5153966016222,263.50265990855354,715.316586288986,1631.5341791965216,6.653045571365186e-14
2031,478.3727816017092,265.3825421500193,718.4138393879314,1637.5784045985552,2.8763624280840925e-14
2032,479.6656443247007,266.9452651501515,720.7408638518347,1641.6528484442592,9.583079623816206e-14
2033,480.4091120836869,268.1981831764875,722.3302650514443,1643.8060855474907,6.033508730237554e-14
2034,480.62759272259166,269.15389199137365,723.2282367161895,1644.1187100177751,5.185436110637648e-14
2035,480.35277352689576,269.8291188443265,723.4912623270668,1642.696554615464,4.362219604822272e-14
2036,479.62161209424386,270.24366269615325,723.182926528711,1639.6638157026218,6.653045571365186e-14
2037,478.4746031250196,270.41959343141207,722.3714176806727,1635.1569828234838,5.185436110637648e-14
2038,476.9528664576111,270.37942878233696,721.124983144738,1629.3149515645746,6.653045571365186e-14
2039,475.0963981674983,270.1450912617661,719.5092386758142,1622.2730502863492,5.185436110637648e-14
2040,472.9429825614301,269.7372943252653,717.585571833722,1614.159280446627,5.185436110637648e-14
2041,470.5274486772325,269.1751050282895,715.4100614438369,1605.091749167172,5.929773054274397e-14
2042,467.88122186497674,268.47564675424724,713.0327757694405,1595.1771519430533,5.185436110637648e-14
2043,465.03233987869675,267.65415869318764,710.4979745727644,1584.510738473218,5.185436110637648e-14
2044,462.00553540358726,266.72405217549135,707.8443643902449,1573.1765397003708,6.653045571365186e-14
2045,458.8224143628638,265.6970042797716,705.105458396992,1561.2479455412545,5.999129483264059e-14
2046,455.5019974027073,264.58344829113963,702.311150521692,1548.7891963172888,5.185436110637648e-14
