time,Sum_steel_outflow,Sum_conc_outflow,Sum_engwood_outflow,Sum_dimlum_outflow,Sum_masonry_outflow
2017,5.1749738209115295,21.3734940373777,7.91924124873679,15.622276180504018,11.906179799363573
2018,5.352864544423344,22.10821201854305,8.19146669453704,16.159294938245473,12.315457027049002
2019,5.5331131501490765,22.852668441522304,8.467300397834782,16.70343170052573,12.730159087893796
2020,5.715572046198072,23.606253727510616,8.746516499364722,17.25424091508216,13.149946413867251
2021,5.900085229276631,24.368323557280338,9.0288762679324,17.811251637175925,13.574460084504754
2022,6.086488380818371,25.138199268383463,9.314128247543405,18.37396781971133,14.003322047705293
2023,6.274609073381342,25.915168708031384,9.602008573316626,18.941868936105212,14.43613559363671
2024,6.4642670777518605,26.6984875023405,9.892241441596424,19.514410906957153,14.87248605933572
2025,6.65527476360338,27.48738071263109,10.184539723393081,20.091027308807032,15.311941747000574
2026,6.847437587053076,28.281044851541658,10.478605711077073,20.67113084473895,15.754055040001962
2027,7.040554658109748,29.078650230312842,10.774131987762152,21.254115055508365,16.198363699702597
2028,7.23441938023352,29.87934360542757,11.070802407691405,21.839356247488084,16.6443923242332
2029,7.428820153242606,30.68225108873854,11.36829317450568,22.426215610756092,17.091653948111336
2030,7.623541129731382,31.486481280811237,11.666274002721961,23.01404149735196,17.539651758827407
2031,7.818363014091311,32.29112858275926,11.964409346213161,23.602171826476546,17.987880904096524
2032,8.01306389222138,33.09527663771573,12.262359676064472,24.189936580340923,18.435830360937203
2033,8.207420079138307,33.89800184941645,12.559782788980653,24.77666035167831,18.882984835649463
2034,8.401206970994188,34.69837692245923,12.856335126505643,25.36166490179135,19.32882666200741
2035,8.594199887532447,35.495474366777295,13.151673084762113,25.944271686525642,19.772837663807827
2036,8.786174890797865,36.288369907928086,13.445454294290629,26.52380430685992,20.214500947219552
2037,8.976909565997303,37.07614574506939,13.737338849907871,27.09959084102934,20.65330258855944
2038,9.166183750812792,37.8578936000873,14.026990471361007,27.670966016268324,21.088733183841295
2039,9.353780200216464,38.632717504346466,14.314077576945426,28.237273180476134,21.520289228079434
2040,9.539485174932794,39.39973627396848,14.598274254205995,28.797866037374636,21.94747429482584
2041,9.723088943145285,40.15808563043194,14.879261114335089,29.352110113076762,22.36979998946061
2042,9.904386186833316,40.90691993056792,15.156726019913988,29.899383927322273,22.786786653916348
2043,10.083176306231211,41.645413478610365,15.430364679173604,30.43907984897793,23.197963805276657
2044,10.259263618295847,42.372761402720606,15.69988110391584,30.970604622552898,23.602870295904882
2045,10.43245744770223,43.08818008915896,15.964987932596147,31.493379560421644,24.001054188916623
2046,10.602572111710757,43.790907178799635,16.225406624704522,32.00684040388929,24.39207234910306
2047,10.769426803199897,44.480201142745095,16.480867537432253,32.510436865139965,24.775489756193355
2048,10.932845379173404,45.15534046608818,16.73110990055055,33.00363187113581,25.150878553977286
2049,11.092656065052918,45.81562248113849,16.975881710358358,33.48590053957238,25.517816856036937
2050,11.248691087989968,46.46036190334212,17.214939568360194,33.956728925797314,25.87588733499057
2051,11.400786255203712,47.08888913441225,17.44804849490794,34.415612587891644,26.224675628993467
2052,11.548780495903177,47.70054840758079,17.674981752278125,34.86205502484751,26.56376860456635
2053,11.692515387632163,48.29469585910235,17.895520715464848,35.295566049563035,26.89275252055027
2054,11.831834689826122,48.87069761804367,18.109454832281582,35.71566016431044,27.211211142016463
2055,11.966583908958867,49.42792801274081,18.316581717102817,36.1218550110668,27.518723857004336
2056,12.096609920852591,49.96576799706199,18.516707424716422,36.513669972706914,27.8148638515276
2057,12.22176067651728,50.48360390264923,18.709646952257113,36.89062500348835,28.099196400480484
2058,12.341885018268462,50.98082662467781,18.895225018058465,37.25223976838583,28.371277332789912
2059,12.456832632855306,51.456831348341865,19.073277166485155,37.59803317083402,28.630651729731053
2060,12.566454167928505,51.91101792133599,19.24365124742326,37.92752334726919,28.876852914354934
2061,12.670601537410489,52.34279197413732,19.40620931812491,38.24022820462533,29.10940178893104
2062,12.769128440216559,52.75156688496383,19.560830013553588,38.53566657363373,29.327806574906905
2063,12.86189111533326,53.13676667996759,19.70741142926716,38.81336004661035,29.531563007564614
2064,12.948749354502503,53.497829951561826,19.84587455822402,39.072835563196726,29.720155034000264
2065,13.029567791678277,53.8342148687416,19.976167319667553,39.3136288015217,29.89305605940177
2066,13.10421748601085,54.145405342835836,20.098269214410195,39.53528842512556,30.049730782135757
2067,13.172577812333012,54.43091840007924,20.212196636340195,39.737381228009035,30.189637653161363
2068,13.234538669933332,54.69031279867246,20.318008864685268,39.919498210826525,30.31223198962613
2069,13.290003016733424,54.92319891219536,20.415814755408242,40.08126161068429,30.41696976608124
2070,13.33888973177211,55.12924988312802,20.50578014290123,40.22233289476625,30.503312099217787
2071,13.38113680404299,55.308214029442155,20.58813595473312,40.342421714050175,30.570730433816138
2072,13.416704840155225,55.459928463354494,20.663187032420097,40.441295797200155,30.61871242764759
2073,13.445580876894539,55.58433385405998,20.73132163984232,40.5187917463869,30.64676852220415
2074,13.467782477476756,55.68149023524304,20.793021627860146,40.57482667570785,30.654439173408477
2075,13.483362082053322,55.75159372316621,20.848873208745083,40.60941060926295,30.641302702378667
2076,13.492411573800192,55.79499397201218,20.899578277108308,40.622659529330576,30.606983710323327
2077,13.495067011705835,55.81221214990675,20.945966195019857,40.61480893580352,30.551161984372552
2078,13.491513469993649,55.80395917183121,20.98900593793945,40.586227745946964,30.47358180203861
2079,13.481989912046464,55.771153874787004,21.029818474959427,40.53743232899355,30.374061521734955
2080,13.46679401387668,55.714940766664036,21.06968923181707,40.46910043350383,30.2525033256577
2081,13.446286838763493,55.63670692402461,21.110080458324255,40.382084727136196,30.108902959049296
2082,13.42089725089504,55.53809755647724,21.152643293566747,40.277425629444814,29.943359288141632
2083,13.391125941976398,55.42102969766308,21.19922929277128,40.15636307905204,29.75608347700711
2084,13.357548931120153,55.287703426584464,21.251901149546093,40.02034683827674,29.547407563035435
2085,13.320820385307242,55.140609969761435,21.312942316783865,39.87104490195123,29.317792191577812
2086,13.281674595714765,54.982535986398545,21.38486519947166,39.71034954405949,29.067833253725404
2087,13.240926934739019,54.8165632976025,21.470417563673386,39.540380507363004,28.798267157749162
2088,13.199473610123677,54.64606328901994,21.572586778849846,39.363484818808516,28.509974455334287
2089,13.158290026824343,54.47468519686012,21.69460148637468,39.182232698960995,28.203981539033382
2090,13.118427564745513,54.30633748291717,21.83993026664787,38.99940902872605,27.881460128494357
2091,13.081008581975405,54.14516151826005,22.012276861813895,38.81799984318684,27.54372427038094
2092,13.047219459385326,53.9954968310935,22.21557150212169,38.6411733426182,27.192224591886642
2093,13.018301514287568,53.86183723580835,22.45395788297622,38.47225494682109,26.82853957044143
2094,12.995539629137962,53.748777251379586,22.731775348467767,38.314695973405236,26.45436361436141
2095,12.980248466982552,53.66094834236407,23.053535857580446,38.17203559587734,26.0714917908474
2096,12.973756179439524,53.60294467913414,23.423895343474545,38.047855836126075,25.68180108988595
2097,12.977385556477717,53.579238320034555,23.847619126537513,37.94572947058827,25.287228176385756
2098,12.992432621025916,53.59408397094995,24.329541110651892,37.869160882598756,24.889743658277634
2099,13.020142736386582,53.65141378094784,24.874516581792022,37.821520077257695,24.49132298618126
2100,13.061684371186633,53.75472298882599,25.487368540926713,37.805970291282236,24.09391420083132
