time,Sum_steel_outflow,Sum_conc_outflow,Sum_engwood_outflow,Sum_dimlum_outflow,Sum_masonry_outflow
2017,2.055219470997314,1.0776570443246534,3.0959029261066786,7.140859153845146,0.0
2018,2.1258680368304192,1.11470171313782,3.2023251864902864,7.386327564958705,2.3966760734920386e-16
2019,2.1974530258424743,1.152237396681814,3.310158038443662,7.635049577998325,1.8117168181824847e-16
2020,2.269915822523835,1.190233359837257,3.419313185835686,7.886821533401273,3.6924576220827856e-16
2021,2.343194470810384,1.2286571158644906,3.529697300453448,8.141428164849545,2.0869555034726257e-16
2022,2.4172237122594913,1.2674744464329712,3.6412120795087177,8.39864273191122,3.6924576220827856e-16
2023,2.4919350680153514,1.3066494446294683,3.7537543691068307,8.658227304826827,2.3966760734920386e-16
2024,2.567256960764609,1.3461445789656463,3.867216347954804,8.919933188239881,2.0869555034726257e-16
2025,2.643114873838877,1.3859207769103332,3.9814857670255366,9.183501473990933,3.3519585939611984e-16
2026,2.7194315448165733,1.4259375265770735,4.096446241189849,9.448663713775634,2.2471581469406973e-16
2027,2.7961271908362417,1.466152995127428,4.211977588616891,9.715142701978833,4.1739110069452513e-16
2028,2.8731197625255205,1.506524162291184,4.327956213280046,9.982653357927505,4.466138484482954e-16
2029,2.9503252230574457,1.5470069672012652,4.444255525313967,10.250903695441895,1.6665370849606292e-16
2030,3.0276578484185452,1.5875564665191022,4.5607463933261965,10.519595866079042,4.766942292301089e-16
2031,3.1050305445455653,1.6281270016033005,4.6772976221217135,10.788427260979086,4.1739110069452513e-16
2032,3.1823551765865847,1.6686723722656926,4.7937764486966765,11.057091654830183,4.522318535476674e-16
2033,3.2595429051918674,1.7091460144753872,4.91004904882937,11.325280374252088,5.458328173574349e-16
2034,3.336504524458548,1.7495011792245232,5.025981046174211,11.592683471921776,4.1739110069452513e-16
2035,3.413150795961013,1.789691109668132,5.141438015475474,11.858990887097129,4.793352146984077e-16
2036,3.4893927732105268,1.829669213603871,5.256285971385741,12.123893572888754,3.859620865476005e-16
2037,3.5651421109164554,1.8693892283710714,5.370391834418532,12.387084570732904,4.1739110069452513e-16
2038,3.6403113535794347,1.908805375329796,5.483623865803955,12.64826001306624,3.5173588609263016e-16
