Tract,W1F,W2F,S1LF,S1MF,S1HF,S2LF,S2MF,S2HF,S3F,S4LF,S4MF,S4HF,S5LF,S5MF,S5HF,C1LF,C1MF,C1HF,C2LF,C2MF,C2HF,C3LF,C3MF,C3HF,PC1F,PC2LF,PC2MF,PC2HF,RM1LF,RM1MF,RM2LF,RM2MF,RM2HF,URMLF,URMMF,MHF,TotalSqft
25001010100,4336.57421875,310.890197753906,309.925903320313,0,0,299.442321777344,0,0,99.6151123046875,1.04284429550171,0,0,246.866577148438,0,0,153.038864135742,0,0,104.889488220215,0,0,1.29613995552063,0,0,56.7272529602051,21.8920841217041,0,0,214.783126831055,0,168.759262084961,0,0,1046.21789550781,0,16.4799995422363,7388.44140625
25001010206,5712.64453125,116.245758056641,120.894340515137,0,0,92.0403213500977,0,0,42.0573997497559,1.72886395454407,0,0,95.5468292236328,0,0,36.9297828674316,0,0,21.5098876953125,0,0,0.223560005426407,0,0,18.7765579223633,6.5858211517334,0,0,40.2942543029785,0,32.3044624328613,0,0,417.671905517578,0,146.259994506836,6901.71484375
25001010208,4067.89526367188,57.5288505554199,58.5508460998535,0,0,51.5817680358887,0,0,20.7888641357422,1.15788602828979,0,0,46.5597648620605,0,0,29.4451026916504,0,0,17.9863910675049,0,0,0.299080014228821,0,0,11.4130363464355,6.22224092483521,0,0,33.4719161987305,0,27.771183013916,0,0,308.950653076172,0,28.8400001525879,4768.46240234375
25001010304,3810.0009765625,38.1966781616211,33.8842811584473,0,0,25.7563953399658,0,0,13.0756235122681,1.00654196739197,0,0,26.7380981445313,0,0,13.8879709243774,0,0,7.35018634796143,0,0,0,0,0,6.48734712600708,3.31747531890869,0,0,12.4481611251831,0,10.9795303344727,0,0,216.589874267578,0,0,4219.71923828125
25001010306,4128.63525390625,129.076354980469,114.050064086914,0,0,86.0646209716797,0,0,43.5869636535645,1.25387990474701,0,0,90.7521514892578,0,0,35.3129005432129,0,0,20.0800933837891,0,0,0,0,0,17.7179832458496,6.50717067718506,0,0,35.6424865722656,0,30.461986541748,0,0,335.144683837891,0,0,5074.2861328125
25001010400,2645.939453125,291.787139892578,306.9580078125,0,0,247.409378051758,0,0,116.700103759766,2.43863987922668,0,0,239.318832397461,0,0,100.983444213867,0,0,61.8078689575195,0,0,3.62612009048462,0,0,48.6044807434082,15.9796676635742,0,0,124.315925598145,0,98.3198547363281,0,0,648.782043457031,0,0,4952.9716796875
25001010500,3893.47900390625,116.214172363281,134.58349609375,0,0,111.188529968262,0,0,39.6070976257324,1.26178193092346,0,0,106.279144287109,0,0,49.8329849243164,0,0,31.2214508056641,0,0,0.23667998611927,0,0,22.8576393127441,9.05553531646729,0,0,59.2365188598633,0,47.1392936706543,0,0,414.726806640625,0,0,5036.919921875
25001010600,4041.55419921875,148.303848266602,161.233291625977,0,0,131.257339477539,0,0,50.7383613586426,2.00414514541626,0,0,126.614799499512,0,0,67.5935821533203,0,0,37.7964286804199,0,0,3.90791988372803,0,0,32.5483779907227,13.7909517288208,0,0,70.2263336181641,0,57.8035202026367,0,0,474.421722412109,0,0,5419.794921875
25001010700,6207.359375,176.361190795898,169.888717651367,0,0,128.074996948242,0,0,59.3767929077148,3.17213988304138,0,0,133.866836547852,0,0,53.4195365905762,0,0,30.0113639831543,0,0,0.132679998874664,0,0,26.8130645751953,10.5025033950806,0,0,55.3677024841309,0,46.8470039367676,0,0,510.329864501953,0,0,7611.5244140625
25001010800,5133.6015625,153.175476074219,147.721939086914,0,0,118.894973754883,0,0,51.5219039916992,1.3687379360199,0,0,117.977821350098,0,0,70.6520004272461,0,0,37.1753845214844,0,0,4.95836019515991,0,0,34.5218734741211,15.5635509490967,0,0,63.7453193664551,0,53.9913940429688,0,0,499.698089599609,0,0,6504.568359375
25001010900,5004.3369140625,98.3597793579102,91.0758438110352,0,0,97.1923980712891,0,0,34.0127944946289,1.61355602741241,0,0,72.0656814575195,0,0,54.2242736816406,0,0,36.6466522216797,0,0,1.93919992446899,0,0,18.4188804626465,7.6919641494751,0,0,79.8781204223633,0,63.6380310058594,0,0,530.557983398438,0,14.4200000762939,6206.07177734375
25001011002,4248.13916015625,158.647094726563,160.323120117188,0,0,130.260345458984,0,0,59.1534767150879,2.39869713783264,0,0,125.702194213867,0,0,69.0190124511719,0,0,37.1777076721191,0,0,4.44581985473633,0,0,31.9666595458984,14.8447008132935,0,0,67.9697113037109,0,56.7919769287109,0,0,478.855377197266,0,30.8999977111816,5676.59521484375
25001011100,4250.8720703125,125.264152526855,126.858703613281,0,0,94.11767578125,0,0,36.4478721618652,2.19126582145691,0,0,98.4218063354492,0,0,34.314624786377,0,0,19.4865875244141,0,0,0.201600015163422,0,0,16.7202110290527,8.46678829193115,0,0,36.3819732666016,0,31.9346141815186,0,0,344.551879882813,0,0,5226.23193359375
25001011200,4651.7333984375,131.953109741211,104.430053710938,0,0,90.3651351928711,0,0,42.8476257324219,1.06423187255859,0,0,82.61083984375,0,0,43.2673187255859,0,0,27.4370784759521,0,0,0.441419988870621,0,0,19.0489120483398,6.2439227104187,0,0,58.4560775756836,0,47.0791702270508,0,0,442.236999511719,0,0,5749.21533203125
25001011300,3752.6455078125,99.8586196899414,96.5341720581055,0,0,79.0632400512695,0,0,35.7736358642578,0.953657925128937,0,0,76.4105377197266,0,0,40.7031364440918,0,0,24.3792343139648,0,0,7.5999996624887E-04,0,0,18.3533935546875,8.0009822845459,0,0,42.9685096740723,0,34.5830955505371,0,0,341.8974609375,0,0,4652.12646484375
25001011400,3307.283203125,66.5909194946289,64.7830963134766,0,0,56.7563056945801,0,0,25.388578414917,0.720827996730804,0,0,50.7291526794434,0,0,22.7620391845703,0,0,15.4973745346069,0,0,0.239680007100105,0,0,9.55734252929688,2.65655541419983,0,0,33.9172172546387,0,27.4734420776367,0,0,280.771240234375,0,63.8600006103516,4028.9873046875
25001011500,3360.30004882813,148.125213623047,162.685470581055,0,0,129.028533935547,0,0,58.6452903747559,3.22538757324219,0,0,127.752464294434,0,0,59.140998840332,0,0,32.1624298095703,0,0,3.41174006462097,0,0,27.9204711914063,11.9630422592163,0,0,59.9491424560547,0,50.1325645446777,0,0,408.085906982422,0,0,4642.5283203125
25001011600,5727.40185546875,88.1630783081055,95.2958374023438,0,0,94.7265243530273,0,0,31.2421951293945,1.02556800842285,0,0,75.5175399780273,0,0,52.7097625732422,0,0,35.7363319396973,0,0,0.179199993610382,0,0,18.4226264953613,8.83078575134277,0,0,70.9210968017578,0,56.3961906433105,0,0,523.643249511719,0,0,6880.21142578125
25001011700,3153.6552734375,84.1875762939453,68.8766250610352,0,0,59.6673469543457,0,0,25.3562412261963,0.668955564498901,0,0,54.765209197998,0,0,28.4390239715576,0,0,18.1647396087646,0,0,0.115559995174408,0,0,12.4242105484009,4.04881572723389,0,0,37.6747436523438,0,30.4262142181396,0,0,290.985717773438,0,28.8400001525879,3898.29614257813
25001011801,2087.87622070313,55.9735908508301,42.9724235534668,0,0,48.4207420349121,0,0,18.6646137237549,0.240498006343842,0,0,34.0190849304199,0,0,23.2670116424561,0,0,18.1625366210938,0,0,0.139660000801086,0,0,7.74785757064819,1.23020541667938,0,0,44.442554473877,0,34.2803535461426,0,0,264.502746582031,0,0,2681.93994140625
25001011802,3383.29467773438,119.328742980957,88.7486419677734,0,0,66.0300445556641,0,0,39.1842155456543,0.85548597574234,0,0,71.0331802368164,0,0,28.9835052490234,0,0,16.2180652618408,0,0,0.300500005483627,0,0,16.0346069335938,4.58789014816284,0,0,31.069709777832,0,26.2792663574219,0,0,285.878570556641,0,0,4177.8271484375
25001012001,4491.8623046875,213.762100219727,219.409637451172,0,0,172.270309448242,0,0,86.8773345947266,2.69940567016602,0,0,172.242248535156,0,0,76.5543975830078,0,0,44.4445304870605,0,0,2.26239991188049,0,0,38.1384201049805,14.1801557540894,0,0,81.3743667602539,0,70.5147933959961,0,0,557.423767089844,0,0,6244.015625
25001012002,3584.26635742188,155.567657470703,159.972213745117,0,0,132.345169067383,0,0,53.8252601623535,1.37889719009399,0,0,126.524116516113,0,0,64.2492828369141,0,0,40.2462730407715,0,0,0.153980001807213,0,0,28.0825634002686,12.4453496932983,0,0,75.1285018920898,0,59.9530029296875,0,0,468.759063720703,0,0,4962.8974609375
25001012101,3760.4443359375,118.79434967041,111.253082275391,0,0,98.7752532958984,0,0,45.2590522766113,1.59737026691437,0,0,87.7854614257813,0,0,44.5734367370605,0,0,29.9245071411133,0,0,1.60000010509975E-04,0,0,17.9199466705322,6.1817798614502,0,0,62.0216407775879,0,52.5241889953613,0,0,418.65234375,0,0,4855.70654296875
