Tract,W1F,W2F,S1LF,S1MF,S1HF,S2LF,S2MF,S2HF,S3F,S4LF,S4MF,S4HF,S5LF,S5MF,S5HF,C1LF,C1MF,C1HF,C2LF,C2MF,C2HF,C3LF,C3MF,C3HF,PC1F,PC2LF,PC2MF,PC2HF,RM1LF,RM1MF,RM2LF,RM2MF,RM2HF,URMLF,URMMF,MHF,TotalSqft
13001950100,1436.49621582031,34.4176597595215,29.9903469085693,0,0,23.2548332214355,0,0,12.4805288314819,0.608561933040619,0,0,23.3738460540771,0,0,9.35692882537842,0,0,5.16677379608154,0,0,0.381060004234314,0,0,4.42483377456665,1.7735538482666,0,0,11.1825180053711,0,9.45071697235107,0,0,157.626678466797,0,730.943969726563,2490.92895507813
13001950200,1727.81115722656,136.726287841797,158.867858886719,0,0,117.984878540039,0,0,50.5621910095215,4.59668684005737,0,0,123.762367248535,0,0,47.6882591247559,0,0,25.571475982666,0,0,1.01918005943298,0,0,25.9296550750732,10.4601669311523,0,0,47.7836380004883,0,40.1826324462891,0,0,347.841491699219,0,862.920043945313,3729.70849609375
13001950300,2374.228515625,415.707580566406,404.9404296875,0,0,298.089691162109,0,0,140.306945800781,9.48297595977783,0,0,317.603210449219,0,0,128.7353515625,0,0,66.8127822875977,0,0,4.05418014526367,0,0,71.55712890625,25.8162174224854,0,0,123.319610595703,0,103.960945129395,0,0,753.364685058594,0,550.463989257813,5788.4443359375
13001950400,735.435607910156,34.2105674743652,21.6768646240234,0,0,15.630334854126,0,0,10.6907014846802,0.22894199192524,0,0,17.2585144042969,0,0,5.6176176071167,0,0,2.40965485572815,0,0,0.437739968299866,0,0,2.70337438583374,1.10274291038513,0,0,5.62324285507202,0,4.88003492355347,0,0,81.5780563354492,0,323.735992431641,1263.21984863281
13001950500,1354.33813476563,99.9129257202148,48.3613471984863,0,0,35.3144683837891,0,0,27.8281345367432,0.846557974815369,0,0,38.3979873657227,0,0,12.7192468643188,0,0,5.7254490852356,0,0,0.11319999396801,0,0,6.20355415344238,1.67018973827362,0,0,15.9305696487427,0,13.0741939544678,0,0,176.090042114258,0,992.640014648438,2829.166015625
13003960100,739.341552734375,40.9766578674316,58.4924430847168,0,0,42.3723831176758,0,0,18.170280456543,1.68136191368103,0,0,45.2897682189941,0,0,15.7129526138306,0,0,8.6734790802002,0,0,0,0,0,7.8432035446167,4.17320442199707,0,0,14.4197454452515,0,12.3537673950195,0,0,118.037208557129,0,437.664001464844,1565.20190429688
13003960200,1360.43103027344,97.9815139770508,131.30989074707,0,0,91.5364151000977,0,0,86.0265579223633,1.16054999828339,0,0,99.2072372436523,0,0,40.8412857055664,0,0,24.7929172515869,0,0,0.382319986820221,0,0,18.0034732818604,12.3945636749268,0,0,40.697135925293,0,41.5381469726563,0,0,284.038940429688,0,1059.18994140625,3389.5322265625
13003960300,392.590057373047,0.452199965715408,0.997233152389526,0,0,0.748575210571289,0,0,0.170471206307411,0,0,0,0.773440420627594,0,0,0.222323998808861,0,0,0.167589604854584,0,0,0,0,0,0.156676799058914,2.70095989108086E-02,0,0,0.416736394166946,0,0.33267480134964,0,0,31.376989364624,0,293.279998779297,721.711975097656
13005970100,1224.0771484375,36.345329284668,36.6461448669434,0,0,26.7734031677246,0,0,15.2648658752441,0.588222026824951,0,0,28.4753818511963,0,0,7.49295997619629,0,0,4.02390813827515,0,0,0,0,0,4.24815273284912,0.918968617916107,0,0,7.76450443267822,0,7.79370498657227,0,0,131.415344238281,0,520.007995605469,2051.83618164063
13005970201,1873.19274902344,142.835723876953,196.049499511719,0,0,145.386093139648,0,0,53.5846824645996,2.98821592330933,0,0,152.44287109375,0,0,55.7457733154297,0,0,29.1039352416992,0,0,2.38915991783142,0,0,29.7793807983398,14.5173072814941,0,0,52.5204811096191,0,44.4973030090332,0,0,381.683837890625,0,557.231994628906,3733.94897460938
