Tract,W1F,W2F,S1LF,S1MF,S1HF,S2LF,S2MF,S2HF,S3F,S4LF,S4MF,S4HF,S5LF,S5MF,S5HF,C1LF,C1MF,C1HF,C2LF,C2MF,C2HF,C3LF,C3MF,C3HF,PC1F,PC2LF,PC2MF,PC2HF,RM1LF,RM1MF,RM2LF,RM2MF,RM2HF,URMLF,URMMF,MHF,TotalSqft
04001942600,323.132415771484,4.32179975509644,0.91129857301712,0,0,0.988726556301117,0,0,0.659769296646118,0.366735577583313,0,0,0,0,0,0.481571972370148,0,0,2.05388998985291,0,0,0,0,0,1.73635637760162,0.441031455993652,0,0,201.953628540039,0,0.3213791847229,0,0,15.6399669647217,0,190.179458618164,743.18798828125
04001942700,1507.13940429688,4.48404979705811,3.84703183174133,0,0,2.00526237487793,0,0,2.64318323135376,4.78388261795044,0,0,0,0,0,1.77388954162598,0,0,13.5628929138184,0,0,1.57772314548492,0,0,5.31186866760254,2.63420629501343,0,0,903.434326171875,0,1.85168147087097,0,0,71.095458984375,0,327.216003417969,2853.36083984375
04001944000,1457.96997070313,20.8490695953369,10.834005355835,0,0,5.19045257568359,0,0,4.74597597122192,9.75359535217285,0,0,0,0,0,4.70222043991089,0,0,32.5963020324707,0,0,2.38065147399902,0,0,12.0307674407959,5.22482681274414,0,0,871.68359375,0,4.94437456130981,0,0,71.2463607788086,0,505.525817871094,3019.67797851563
04001944100,1380.26477050781,5.9317798614502,16.5379314422607,0,0,11.6548204421997,0,0,4.20550346374512,16.953784942627,0,0,0,0,0,6.27161312103271,0,0,54.5890197753906,0,0,2.13320875167847,0,0,8.04754066467285,4.73281717300415,0,0,824.5859375,0,8.31666469573975,0,0,70.7059020996094,0,421.463836669922,2836.39477539063
04001944201,808.93505859375,0.179799988865852,2.21434497833252,0,0,1.53784763813019,0,0,5.14338493347168,10.1614723205566,0,0,0,0,0,2.02156114578247,0,0,26.8749885559082,0,0,1.84029114246368,0,0,0.178001999855042,1.88973617553711,0,0,403.5615234375,0,1.0958479642868,0,0,36.567310333252,0,313.269775390625,1615.47082519531
04001944202,816.293395996094,0,0,0,0,0,0,0,1.22759997844696,1.8413999080658,0,0,0,0,0,0,0,0,4.02652788162231,0,0,0.441936016082764,0,0,0,0.441936016082764,0,0,482.519744873047,0,0,0,0,37.3284912109375,0,363.258972167969,1707.38012695313
04001944300,1871.76171875,80.2559509277344,43.9930000305176,0,0,18.8800849914551,0,0,12.3299522399902,28.2866725921631,0,0,0,0,0,16.9957103729248,0,0,95.2216262817383,0,0,5.20170211791992,0,0,48.9807434082031,16.58349609375,0,0,1151.67358398438,0,17.2353096008301,0,0,102.236923217773,0,394.151702880859,3903.7880859375
04001944901,1179.06359863281,12.9914102554321,22.5392036437988,0,0,12.6674871444702,0,0,4.89576482772827,18.9626350402832,0,0,0,0,0,9.51153564453125,0,0,62.8747024536133,0,0,4.49137878417969,0,0,15.9210157394409,7.92439556121826,0,0,689.75146484375,0,10.5607624053955,0,0,61.7774887084961,0,253.293197631836,2367.22607421875
04001944902,1250.63818359375,0,0.356999963521957,0,0,0.356999963521957,0,0,2.00880002975464,3.7272002696991,0,0,0,0,0,0.586669981479645,0,0,9.45319366455078,0,0,0.723168075084686,0,0,0,0.723168075084686,0,0,736.506774902344,0,0.247519984841347,0,0,57.6393203735352,0,265.712005615234,2328.68017578125
04001945001,901.045288085938,78.214469909668,47.6621398925781,0,0,18.1478176116943,0,0,10.0416555404663,35.6400566101074,0,0,0,0,0,14.7011461257935,0,0,106.132881164551,0,0,1.50079131126404,0,0,30.5136394500732,18.3257179260254,0,0,586.227722167969,0,22.0679168701172,0,0,61.3753128051758,0,542.263366699219,2473.85986328125
