Tract,RES1F,RES2F,RES3AF,RES3BF,RES3CF,RES3DF,RES3EF,RES3FF,RES4F,RES5F,RES6F,COM1F,COM2F,COM3F,COM4F,COM5F,COM6F,COM7F,COM8F,COM9F,COM10F,IND1F,IND2F,IND3F,IND4F,IND5F,IND6F,AGR1F,REL1F,GOV1F,GOV2F,EDU1F,EDU2F,TotalSqft
04013112900,1933.21,6.965,50.22,241.8,119.217,170.31,55.148,60.825,26.215,44.1,2.422,177.779,349.176,156.237,229.402,5.671,0,5.166,76.661,0,0,141.1,48.463,18.8,3,0,138.09,7,73.343,41.195,0,19.732,0,4201.247
04013113000,596.063,30.845,93,100.44,73.801,90.832,275.74,182.475,5.029,32.2,0,58.914,17.51,60.116,261.987,0,2.782,38.49,153.331,0,0,5,71.428,0,0,0,10.85,2.6,105.136,53.435,0,45.582,18.297,2385.883
04013113100,209.814,38.805,63.24,148.8,170.31,306.558,110.296,486.6,71.048,416.9,0,96.328,51.174,129.877,1773.7,5.959,0,19.688,149.131,23.647,0,5,330.957,0,7.5,0,54.31,5.494,192.418,101.773,0,22.663,20.223,5012.213
04013113201,648.516,23.88,130.2,55.8,68.124,0,0,0,3.129,4.9,0,19.275,13.817,15.059,9.382,0,0,0,6.741,0,0,1.2,5,0,0,0,2.744,0,2.675,0,0,12.198,0,1022.64
04013113202,595.782,0,171.12,33.48,39.739,11.354,0,0,8.025,38.5,0,21.708,9.754,17.777,10.173,0.917,0,0,5.511,0,0,1.5,0,0,0,0,2.563,0.672,0,1.412,0,47.615,0,1017.602
04013113203,569.976,0,81.84,148.8,51.093,45.416,55.148,0,5.029,0,0,32.637,5.057,20.651,28.576,0,134.82,188.684,23.005,1.284,0,0,3.324,0,0,0,7.785,0,66.626,0.642,0,9.523,0,1479.916
04013113300,508.266,56.715,390.6,591.48,147.602,56.77,27.574,121.65,12.733,217.6,0,142.126,63.13,195.581,97.602,9.865,353.1,46.267,39.369,0,0,0,42.977,2.999,0,3.7,32.8,0.5,24.857,35.095,0,13.318,0,3234.276
04013113400,0,0,0,0,0,0,0,0,30.923,214.2,0,8.132,0,6.375,7.509,0,77.682,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345.861
04013113501,773.058,0,141.36,208.32,39.739,181.664,82.722,60.825,4.693,16.7,0,65.632,22.07,61.726,25.264,5.147,0,41.623,20.154,2.247,0,16.4,83.414,0,0,0,8.39,14.06,14.445,0,0,0,0,1889.653
04013113502,399.712,45.77,14.88,133.92,68.124,68.124,27.574,60.825,52.109,0,0,72.332,1.07,9.033,16.093,0,0,0,34.418,0,0,0,0,0,0,0,2.8,0,11.096,0,0,95.016,0,1112.896
04013113601,378.114,47.76,61.38,308.76,124.894,238.434,165.444,182.475,0,1.4,0,38.552,7.062,8.614,27.435,1.177,0,2.075,13.129,1.391,0,0,0,15.1,0,0,2.427,2.395,10.486,7.275,0,57.251,0,1703.03
04013113602,654.126,167.16,89.28,44.64,51.093,45.416,82.722,0,17.869,0,0,22.731,1.07,168.75,12.933,0,0,0.004,0.006,0,0,5.8,0,0,0,0,2.402,1.903,13.715,0.001,0,21.076,0,1402.697
04013113700,938.086,215.915,93,360.84,255.465,783.426,275.74,304.125,158.038,0,0,82.934,185.853,36.793,364.932,4.173,0,67.881,86.049,0,0,12.3,17.629,4.5,0,26.2,64.378,6.724,3.103,0,0,22.148,0,4370.232
04013113801,292.561,26.865,35.34,52.08,79.478,261.142,193.018,182.475,316.292,61.6,0,223.408,868.582,303.446,390.218,156.219,0,7.211,141.017,0,0,287.304,148.228,39.499,0,0,208.537,36.519,49.613,282.438,0,131.659,30.174,4804.923
