Tract,W1F,W2F,S1LF,S1MF,S1HF,S2LF,S2MF,S2HF,S3F,S4LF,S4MF,S4HF,S5LF,S5MF,S5HF,C1LF,C1MF,C1HF,C2LF,C2MF,C2HF,C3LF,C3MF,C3HF,PC1F,PC2LF,PC2MF,PC2HF,RM1LF,RM1MF,RM2LF,RM2MF,RM2HF,URMLF,URMMF,MHF,TotalSqft
01001020100,1090.93273925781,34.3240509033203,29.4308662414551,0,0,21.6317081451416,0,0,12.6643409729004,0.341100007295609,0,0,23.0134944915771,0,0,8.28410243988037,0,0,4.85421943664551,0,0,0.1283999979496,0,0,4.48781871795654,1.52250969409943,0,0,10.2300701141357,0,8.6765251159668,0,0,104.898078918457,0,104.903999328613,1460.32409667969
01001020200,1014.56939697266,72.5681762695313,72.7353668212891,0,0,57.8610649108887,0,0,26.9552764892578,1.03327190876007,0,0,56.7004165649414,0,0,25.4856090545654,0,0,15.6238975524902,0,0,0.709740042686462,0,0,13.4328603744507,4.36665344238281,0,0,33.8173141479492,0,27.5365905761719,0,0,201.264343261719,0,37.2239990234375,1661.88415527344
01001020300,1904.69946289063,71.5306015014648,63.0163917541504,0,0,48.2433738708496,0,0,26.0077285766602,0.55349999666214,0,0,49.7045478820801,0,0,18.1471920013428,0,0,10.3240699768066,0,0,0.808520019054413,0,0,9.90291786193848,2.58799052238464,0,0,22.6445579528809,0,16.7798728942871,0,0,200.443222045898,0,2.25600004196167,2447.64965820313
01001020400,2740.65307617188,92.1787185668945,74.4596862792969,0,0,56.5189819335938,0,0,34.6289329528809,0.666108012199402,0,0,58.5090789794922,0,0,19.7737045288086,0,0,12.2185049057007,0,0,0,0,0,12.100790977478,1.49150955677032,0,0,27.4892120361328,0,21.9573192596436,0,0,271.443359375,0,28.2000007629395,3452.28881835938
01001020500,6237.5966796875,221.34309387207,211.068923950195,0,0,187.895660400391,0,0,81.1908798217773,1.22941792011261,0,0,167.083374023438,0,0,93.8171005249023,0,0,58.9006538391113,0,0,4.0543999671936,0,0,42.5526695251465,13.5478610992432,0,0,124.117515563965,0,92.7990188598633,0,0,831.736633300781,0,0,8368.93359375
01001020600,1653.24108886719,88.4898147583008,214.111846923828,0,0,147.568649291992,0,0,58.143482208252,13.1687097549438,0,0,162.860076904297,0,0,62.4393196105957,0,0,30.1286525726318,0,0,0,0,0,30.1835803985596,23.1750907897949,0,0,39.5032844543457,0,38.8788185119629,0,0,268.995483398438,0,506.471984863281,3337.35961914063
01001020700,1039.6953125,100.752777099609,105.54418182373,0,0,81.186279296875,0,0,47.5784187316895,1.1543687582016,0,0,81.5361328125,0,0,33.95263671875,0,0,20.5549468994141,0,0,0.849220037460327,0,0,16.7505912780762,6.82918310165405,0,0,41.2935104370117,0,34.3302879333496,0,0,237.608062744141,0,557.231994628906,2406.84790039063
01001020801,1591.28735351563,38.0656318664551,32.3832359313965,0,0,23.8096542358398,0,0,13.7914333343506,0.533609986305237,0,0,25.2210369110107,0,0,7.71671342849731,0,0,4.19284820556641,0,0,0,0,0,4.38161277770996,1.04624605178833,0,0,8.79564189910889,0,8.04348373413086,0,0,127.372505187988,0,280.872009277344,2167.51293945313
01001020802,4766.32568359375,64.8316116333008,66.9119262695313,0,0,48.92431640625,0,0,24.0526332855225,1.60172998905182,0,0,51.9577674865723,0,0,17.8064365386963,0,0,9.70853805541992,0,0,0.24091999232769,0,0,10.1065473556519,3.58944749832153,0,0,19.8272361755371,0,17.5679168701172,0,0,347.732360839844,0,1296.06982421875,6747.2548828125
01001020900,1987.13842773438,34.5489196777344,44.2863082885742,0,0,32.2904853820801,0,0,15.2051105499268,1.37867403030396,0,0,34.2045059204102,0,0,12.8308906555176,0,0,6.97006273269653,0,0,0.31360000371933,0,0,7.19455575942993,2.99001145362854,0,0,13.3967418670654,0,12.4332208633423,0,0,170.155456542969,0,1159.57995605469,3534.9169921875
