Year,Year,US_pop_SSP1,US_pop_SSP2,US_pop_SSP3,US_pop_SSP4,US_pop_SSP5,US_gdp_SSP1,US_gdp_SSP2,US_gdp_SSP3,US_gdp_SSP4,US_gdp_SSP5,FA_SSP1,FA_SSP2,FA_SSP3,FA_SSP4,FA_SSP5
1900.0,1900.0,76212168.0,76212168.0,76212168.0,76212168.0,76212168.0,5439.24,5439.24,5439.24,5439.24,5439.24,13.110562594345083,13.11162446245994,13.109695245624263,13.110949541843171,13.113357276853492
1901.0,1901.0,78267408.12978488,78267408.12987815,78267408.13036127,78267408.13004553,78267408.12936735,5935.14,5935.14,5935.14,5935.14,5935.14,13.589065202364157,13.590165825997879,13.58816619759034,13.589466272472766,13.591961883767562
1902.0,1902.0,80188765.04805876,80188765.04821582,80188765.04902951,80188765.04849772,80188765.04735553,5877.72,5877.72,5877.72,5877.72,5877.72,13.523849656753557,13.524944998362802,13.52295496640901,13.52424880207798,13.526732436638612
1903.0,1903.0,81988644.34832285,81988644.34851754,81988644.3495262,81988644.34886698,81988644.34745114,6050.85,6050.85,6050.85,6050.85,6050.85,13.680635626474258,13.681743666701015,13.679730563720147,13.681039399207435,13.68355182727581
1904.0,1904.0,83679451.62407838,83679451.62428777,83679451.6253727,83679451.62466364,83679451.62314071,5862.93,5862.93,5862.93,5862.93,5862.93,13.492288457976292,13.49338124333875,13.49139585560833,13.492686671797218,13.495164510192973
1905.0,1905.0,85273592.46882653,85273592.46903104,85273592.47009052,85273592.46939808,85273592.46791084,6171.780000000001,6171.780000000001,6171.780000000001,6171.780000000001,6171.780000000001,13.778563791169237,13.779679762924077,13.77765224983199,13.778970454171802,13.781500866599774
1906.0,1906.0,86783472.47606859,86783472.47625181,86783472.47720113,86783472.47658071,86783472.47524813,6752.9400000000005,6752.9400000000005,6752.9400000000005,6752.9400000000005,6752.9400000000005,14.301773907012398,14.302932255296582,14.300827751934166,14.302196012132487,14.304822511307043
1907.0,1907.0,88221497.23930569,88221497.23945458,88221497.2402259,88221497.23972179,88221497.23863909,6733.799999999999,6733.799999999999,6733.799999999999,6733.799999999999,6733.799999999999,14.277693722069378,14.278850120019396,14.276749160052642,14.278115116483079,14.280737193366722
1908.0,1908.0,89600072.35203919,89600072.35214391,89600072.35268638,89600072.35233185,89600072.35157038,6063.9,6063.9,6063.9,6063.9,6063.9,13.656600550720642,13.657706644267085,13.655697078045694,13.657003614079663,13.65951162813909
1909.0,1909.0,90931603.4077702,90931603.4078242,90931603.40810391,90931603.4079211,90931603.40752846,6671.159999999999,6671.159999999999,6671.159999999999,6671.159999999999,6671.159999999999,14.208856525845958,14.210007348442737,14.207916517858976,14.209275888587603,14.211885323620757
1910.0,1910.0,92228496.0,92228496.0,92228496.0,92228496.0,92228496.0,6599.82,6599.82,6599.82,6599.82,6599.82,14.138831832653507,14.139976983717496,14.137896457255565,14.139249128674495,14.141845703776708
1911.0,1911.0,93503155.72222981,93503155.72217582,93503155.72189611,93503155.72207892,93503155.72247154,6708.569999999998,6708.569999999998,6708.569999999998,6708.569999999998,6708.569999999998,14.230357081527771,14.231509645526637,14.229415651142714,14.230777078842072,14.233390462416157
1912.0,1912.0,94767988.16796082,94767988.16785614,94767988.16731368,94767988.1676682,94767988.16842966,6914.760000000002,6914.760000000002,6914.760000000002,6914.760000000002,6914.760000000002,14.40663460787738,14.407801449180237,14.405681515592452,14.40705980787889,14.409705564552649
1913.0,1913.0,96035398.9306943,96035398.93054545,96035398.92977414,96035398.93027821,96035398.93136092,7047.870000000001,7047.870000000001,7047.870000000001,7047.870000000001,7047.870000000001,14.51668241812162,14.517858172563217,14.515722045461745,14.517110866094509,14.5197768328809
1914.0,1914.0,97317793.60393143,97317793.60374822,97317793.60279891,97317793.60341932,97317793.60475187,6380.579999999999,6380.579999999999,6380.579999999999,6380.579999999999,6380.579999999999,13.917188304356245,13.918315503773723,13.916267592119633,13.917599058752545,13.920154929349973
1915.0,1915.0,98627577.78117347,98627577.78096902,98627577.77990949,98627577.78060193,98627577.78208916,6467.58,6467.58,6467.58,6467.58,6467.58,13.990963175178173,13.992096349868152,13.990037582256042,13.99137610697949,13.99394552621986
1916.0,1916.0,99977157.05592163,99977157.05571227,99977157.05462733,99977157.05533637,99977157.0568593,7257.540000000001,7257.540000000001,7257.540000000001,7257.540000000001,7257.540000000001,14.678799726097258,14.67998861095963,14.677828628327864,14.67923295883017,14.681928698213412
1917.0,1917.0,101378937.02167715,101378937.0214825,101378937.02047385,101378937.02113304,101378937.02254888,6977.4,6977.4,6977.4,6977.4,6977.4,14.432078862956736,14.433247765074876,14.431124087371547,14.432504813925544,14.435155243395728
1918.0,1918.0,102845323.27194124,102845323.27178422,102845323.27097052,102845323.27150232,102845323.27264449,7523.76,7523.76,7523.76,7523.76,7523.76,14.889946600661217,14.891152587011714,14.888961534155568,14.890386065220218,14.893120581409677
