,time,stock_res,inflow_res,outflow_res,stock_com,inflow_com,outflow_com,stock_pub,inflow_pub,outflow_pub
0,1900.0,8652.95857446733,8652.95857446733,0.0,1593.750265648913,1593.750265648913,0.0,335.805453011919,335.805453011919,0.0
1,1901.0,9210.633776624236,557.6752023578083,2.009019226534292e-07,1696.4660008433452,102.71573677694983,1.582517597853439e-06,357.44780484824935,21.64235183660918,2.788169695122633e-10
2,1902.0,9391.454080264022,180.82031254362482,8.903838988771895e-06,1729.770494847394,33.3045366086958,4.260464690730714e-05,364.46510921356577,7.017304384179511,1.8863097750454472e-08
3,1903.0,9713.571954282208,322.1179500609669,7.604277996620112e-05,1789.099964978175,59.32973751361601,0.0002673828351191787,376.96591314981606,12.500804145194365,2.089440789276864e-07
4,1904.0,9777.400908143398,63.829285808335044,0.00033194714515616397,1800.8563383962262,11.757310830804954,0.0009374127538777088,379.44299778880657,2.4770857377133098,1.0987227874181826e-06
5,1905.0,10175.071998778578,397.67210601105216,0.0010153758729884999,1874.1016221782215,73.24770635120785,0.002422569212187753,394.8758834996585,15.432889590995785,3.8801438537738875e-06
6,1906.0,10748.451764129311,573.3822618075228,0.002496456790069601,1979.70991158364,105.61348591547767,0.005196510059434445,417.12770063184945,22.251827851305336,1.071911440986284e-05
7,1907.0,10908.159148757022,159.7126815697302,0.005296942017835704,2009.1257101785357,29.425632359840847,0.009833764945051726,423.32565133075923,6.197975780743889,2.5081834101214895e-05
8,1908.0,10596.683110447619,0.0,311.476038309404,1951.7563128184609,0.0,57.369397360074984,411.2378375215632,0.0,12.087813809196007
9,1909.0,11189.043395011633,592.377593666979,0.017309102965270995,2060.8605403215815,109.13095036870322,0.026722865582547328,434.226253794726,22.988512266805685,9.599364290480139e-05
10,1910.0,11292.695962321593,103.68123876253776,0.02867145257735615,2079.951849411272,19.13231241701169,0.04100332732110523,438.248819836366,4.022735840935297,0.0001697992953544336
11,1911.0,11522.880196862516,230.22942350102312,0.045188960100603026,2122.348468069575,42.4569410131503,0.06032235484711457,447.1818478280058,8.933311911511396,0.000283919871511884
12,1912.0,11823.421780284838,300.6099625750703,0.0683791527480011,2177.703896423438,55.44116442821178,0.08573607434907338,458.8453154964923,11.66392101998855,0.000453351502075261
13,1913.0,12073.069500709555,249.7477331412265,0.10001271650966714,2223.6854086797857,46.09991282770807,0.11840057136056004,468.5336856798403,9.689066762321374,0.0006965789734239003
14,1914.0,11729.047296394983,0.0,344.02220431457,2160.321476586857,0.0,63.363932092928756,455.1828148566634,0.0,13.350870823176868
15,1915.0,11949.918983416115,221.06312831825198,0.19144129712267954,2201.0028582015752,40.88600108474657,0.20461947002800862,463.75443995798935,8.573080729182266,0.0014556278562918301
16,1916.0,12708.968645154491,759.3094569169425,0.2597951785662218,2340.8088667043635,140.0712085790642,0.2652000762762423,493.2117652560353,29.459380093913296,0.0020547958673198252
17,1917.0,12670.55407518077,0.0,38.41456997372285,2333.733456534128,0.0,7.075410170235172,491.7209662465094,0.0,1.4907990095258685
18,1918.0,13261.622704031888,591.5205019043751,0.4518730532544737,2442.5997796698775,109.29058174850798,0.42425861275913945,514.6592557303121,22.942129291345907,0.0038398075433003775
19,1919.0,13476.165603988515,215.12614939938612,0.5832494427565678,2482.115489915839,40.04268219067853,0.5269719447165269,522.9852722124677,8.331138267261622,0.005121785105905552
20,1920.0,13549.994515580533,74.5718555825224,0.7429439905041164,2495.713711431604,14.245468759179403,0.6472472434141885,525.850436871373,2.8718951708086706,0.00673051190347973
21,1921.0,13522.069486458846,0.0,27.925029121689022,2490.57032351429,0.0,5.143387917314305,524.7667177048154,0.0,1.0837191665575274
22,1922.0,13974.12427696481,453.2170045253315,1.1622140193661323,2573.8323010513886,84.20846418823794,0.9464866511394217,542.3101350695991,17.55457179643713,0.011154431653475516
23,1923.0,14853.955435536795,881.2643111925099,1.433152620524858,2735.884520605278,163.18306089433827,1.1308413404486828,576.4547687501613,34.15876366034354,0.014129979781340563
24,1924.0,15165.319590139427,313.11566168639,1.75150708375849,2793.233310598999,58.68960700172374,1.3408170080029969,588.5382405578888,12.101191044070788,0.017719236343217037
25,1925.0,15457.248969440294,294.0524516400292,2.123072339159542,2847.0024950701177,55.34783112638115,1.5786466552626308,599.8674843789423,11.351258991638701,0.022015170585238053
26,1926.0,16024.023556276836,569.3286573331825,2.554070496644073,2951.3942057850154,106.2383555098586,1.8466447949603388,621.8629666466943,22.022602484960316,0.027120217208347785
27,1927.0,16228.611673467592,207.63928017044236,3.051162979683653,2989.0763885107604,39.82938423715132,2.1472015114067116,629.8026562664757,7.972836438407057,0.03314681862571911
28,1928.0,16440.111618697894,215.1214059715312,3.6214607412324185,3028.031630350258,41.43801677361034,2.482774934112923,638.0105812563895,8.24814296375007,0.04021797383612924
29,1929.0,16986.951957941063,551.1128724233276,4.2725331801578506,3128.7517399446792,103.57599289304426,2.855883298622702,659.232451933847,21.27033846958011,0.048467792122717235
30,1930.0,16429.571582232926,0.0,557.3803757081387,3026.0903075331626,0.0,102.66143241151644,637.6015417712906,0.0,21.630910162556404
31,1931.0,16115.710998126315,0.0,313.8605841066104,2968.2817112025796,0.0,57.80859633058283,625.4211881128896,0.0,12.180353658401097
32,1932.0,15167.170910981722,0.0,948.5400871445896,2793.574297217485,0.0,174.70741398509531,588.6100869245121,0.0,36.811101188377364
33,1933.0,15056.27036059316,0.0,110.9005503885615,2773.1480141004113,0.0,20.426283117073293,584.3062399521723,0.0,4.303846972339712
