,CO2_flux,CH4_flux
174,-2433554.1795712034,0.0
175,-1992434.95419752,0.0
176,-1631274.009999413,0.0
177,-1335578.3812034158,0.0
178,-1093481.8974264106,0.0
179,-895269.1366991934,0.0
180,-732985.6342473179,0.0
181,-600118.7247649078,0.0
182,-491336.22153089946,0.0
183,-402272.4540854343,0.0
184,-329353.0836120457,0.0
185,-269651.66868407826,0.0
186,-220772.22804464618,0.0
187,-180753.08910919522,0.0
188,-147988.16414288784,0.0
189,-121162.49552781958,0.0
190,-99199.48423784356,0.0
191,-81217.68394445973,0.0
192,-66495.4258916221,0.0
193,-54441.85708604179,0.0
194,-44573.22728566058,0.0
195,-36493.47506165612,0.0
196,-29878.332430486924,0.0
197,-24462.31101515115,0.0
198,-20028.04724100082,0.0
199,-16397.578851808976,0.0
200,-13425.202502115344,0.0
201,-10991.626427703637,0.0
202,-8999.18277501069,0.0
203,-7367.907793136059,0.0
204,-6032.33280651115,0.0
205,-4938.85643441056,0.0
206,-4043.5937029469774,0.0
207,-3310.614519492537,0.0
208,-2710.501957109519,0.0
209,-2219.171314871489,0.0
210,-1816.9038287996648,0.0
211,-1487.555034012742,0.0
212,-1217.907060753952,0.0
213,-997.1379515047413,0.0
214,-816.3875306992959,0.0
215,-668.4015748587798,0.0
216,-547.2409067579997,0.0
217,-448.04298266548005,0.0
218,-366.82654700555145,0.0
219,-300.332173259435,0.0
220,-245.8911959502911,0.0
221,-201.318661271909,0.0
222,-164.82579243076066,0.0
223,-134.94795045669628,0.0
224,-110.48604608448524,0.0
225,-90.45832151870546,0.0
226,-74.06101688662288,0.0
227,-60.63602454967417,0.0
228,-49.644604873716986,0.0
229,-40.645550803622335,0.0
230,-33.27775827310865,0.0
231,-27.24553734108307,0.0
232,-22.30674073331487,0.0
233,-18.263231787170138,0.0
234,-14.952644075420654,0.0
235,-12.242201974747395,0.0
236,-10.02308312139439,0.0
237,-8.206193938973257,0.0
238,-6.718663510661352,0.0
239,-5.500796831671353,0.0
240,-4.503637246863893,0.0
241,-3.6872817466602745,0.0
242,-3.018882150815602,0.0
243,-2.4716662320208833,0.0
244,-2.023617069586755,0.0
245,-1.6568241469418235,0.0
246,-1.3564677117136341,0.0
247,-1.1105898139136383,0.0
248,-0.9092672486295733,0.0
249,-0.7444617724218281,0.0
250,-0.6095005377104477,0.0
251,-0.4990130952909681,0.0
252,-0.4085857938140144,0.0
253,-0.3345193603220804,0.0
254,-0.27385640983350296,0.0
255,-0.2242288478833457,0.0
256,-0.1835692812532405,0.0
257,-0.15030161804437941,0.0
258,-0.12304873636389936,0.0
259,-0.10074817810694056,0.0
260,-0.08248562748416867,0.0
261,-0.06752767739281296,0.0
262,-0.05529052392126517,0.0
263,-0.045284333433425424,0.0
264,-0.03707356239071298,0.0
265,-0.030349428856992332,0.0
266,-0.024826091159712304,0.0
267,-0.020339890342244503,0.0
268,-0.01667571948401703,0.0
269,-0.013638166017904426,0.0
270,-0.01115249912629405,0.0
271,-0.009152155605537976,0.0
272,-0.007488607730753184,0.0
273,-0.006114979893927448,0.0
274,-0.005033124483710092,0.0
275,-0.0040960561088239245,0.0
276,-0.003351144692401176,0.0
277,-0.0027338784577857034,0.0
278,-0.002250851470832321,0.0
279,-0.0018567508705304727,0.0
280,-0.0014947719895751206,0.0
281,-0.0012395086438072474,0.0
282,-0.0010304930659017929,0.0
283,-0.0008265506437729058,0.0
284,-0.0006871808461043149,0.0
285,-0.000559944396651074,0.0
286,-0.00046688131288951594,0.0
287,-0.00039667325362375427,0.0
288,-0.00030069070527257574,0.0
289,-0.00024295347138164982,0.0
290,-0.00018572177600441198,0.0
291,-0.00017322336943818379,0.0
292,-0.00012762002875512537,0.0
293,-0.00011556746433419971,0.0
294,-9.252484920078475e-05,0.0
295,-6.966147996297884e-05,0.0
296,-5.803937239670384e-05,0.0
297,-5.756213759560271e-05,0.0
298,-3.496207067398299e-05,0.0
299,-3.4679206419244576e-05,0.0
300,-2.3333322742405072e-05,0.0
301,-2.3144473840223745e-05,0.0
302,-2.2949337548471748e-05,0.0
303,-2.274798131322296e-05,0.0
304,-2.2540457575085892e-05,0.0
305,-2.2326800021361464e-05,0.0
306,0.0,0.0
307,0.0,0.0
308,0.0,0.0
309,0.0,0.0
310,0.0,0.0
311,0.0,0.0
312,0.0,0.0
313,0.0,0.0
314,0.0,0.0
315,0.0,0.0
316,0.0,0.0
317,0.0,0.0
318,0.0,0.0
319,0.0,0.0
320,0.0,0.0
321,0.0,0.0
322,0.0,0.0
323,0.0,0.0
324,0.0,0.0
325,0.0,0.0
326,0.0,0.0
327,0.0,0.0
328,0.0,0.0
329,0.0,0.0
330,0.0,0.0
331,0.0,0.0
332,0.0,0.0
333,0.0,0.0
334,0.0,0.0
335,0.0,0.0
336,0.0,0.0
337,0.0,0.0
338,0.0,0.0
339,0.0,0.0
340,0.0,0.0
341,0.0,0.0
342,0.0,0.0
343,0.0,0.0
344,0.0,0.0
345,0.0,0.0
346,0.0,0.0
347,0.0,0.0
348,0.0,0.0
349,0.0,0.0
350,0.0,0.0
351,0.0,0.0
352,0.0,0.0
353,0.0,0.0
354,0.0,0.0
355,0.0,0.0
356,0.0,0.0
357,0.0,0.0
358,0.0,0.0
359,0.0,0.0
360,0.0,0.0
361,0.0,0.0
362,0.0,0.0
363,0.0,0.0
364,0.0,0.0
365,0.0,0.0
366,0.0,0.0
367,0.0,0.0
368,0.0,0.0
369,0.0,0.0
370,0.0,0.0
371,0.0,0.0
372,0.0,0.0
373,0.0,0.0
374,0.0,0.0
375,0.0,0.0
376,0.0,0.0
377,0.0,0.0
378,0.0,0.0
379,0.0,0.0
380,0.0,0.0
381,0.0,0.0
382,0.0,0.0
383,0.0,0.0
384,0.0,0.0
385,0.0,0.0
386,0.0,0.0
387,0.0,0.0
388,0.0,0.0
389,0.0,0.0
390,0.0,0.0
391,0.0,0.0
392,0.0,0.0
393,0.0,0.0
394,0.0,0.0
395,0.0,0.0
396,0.0,0.0
397,0.0,0.0
398,0.0,0.0
399,0.0,0.0
400,0.0,0.0
401,0.0,0.0
402,0.0,0.0
403,0.0,0.0
404,0.0,0.0
405,0.0,0.0
406,0.0,0.0
407,0.0,0.0
408,0.0,0.0
409,0.0,0.0
410,0.0,0.0
411,0.0,0.0
412,0.0,0.0
413,0.0,0.0
414,0.0,0.0
415,0.0,0.0
416,0.0,0.0
417,0.0,0.0
418,0.0,0.0
419,0.0,0.0
420,0.0,0.0
421,0.0,0.0
422,0.0,0.0
423,0.0,0.0
424,0.0,0.0
425,0.0,0.0
426,0.0,0.0
427,0.0,0.0
428,0.0,0.0
429,0.0,0.0
430,0.0,0.0
431,0.0,0.0
432,0.0,0.0
433,0.0,0.0
434,0.0,0.0
435,0.0,0.0
436,0.0,0.0
437,0.0,0.0
438,0.0,0.0
439,0.0,0.0
440,0.0,0.0
441,0.0,0.0
442,0.0,0.0
443,0.0,0.0
444,0.0,0.0
445,0.0,0.0
446,0.0,0.0
447,0.0,0.0
448,0.0,0.0
449,0.0,0.0
450,0.0,0.0
451,0.0,0.0
452,0.0,0.0
453,0.0,0.0
454,0.0,0.0
455,0.0,0.0
456,0.0,0.0
457,0.0,0.0
458,0.0,0.0
459,0.0,0.0
460,0.0,0.0
461,0.0,0.0
462,0.0,0.0
463,0.0,0.0
464,0.0,0.0
465,0.0,0.0
466,0.0,0.0
467,0.0,0.0
468,0.0,0.0
469,0.0,0.0
470,0.0,0.0
471,0.0,0.0
472,0.0,0.0
473,0.0,0.0
474,0.0,0.0
475,0.0,0.0
476,0.0,0.0
477,0.0,0.0
478,0.0,0.0
479,0.0,0.0
480,0.0,0.0
481,0.0,0.0
482,0.0,0.0
483,0.0,0.0
484,0.0,0.0
485,0.0,0.0
486,0.0,0.0
487,0.0,0.0
488,0.0,0.0
489,0.0,0.0
490,0.0,0.0
491,0.0,0.0
492,0.0,0.0
493,0.0,0.0
494,0.0,0.0
495,0.0,0.0
496,0.0,0.0
497,0.0,0.0
498,0.0,0.0
499,0.0,0.0
500,0.0,0.0
